course_code_portal,course_name_portal,professor,lecture_time,classroom,capacity,major_quota,total_applicants,avg_mileage,course_code,scraped_code,course_name,year,semester
CCO1102-01-00,객체지향프로그래밍,김선주,"화7,8,9",I자A102,130.0,130.0,2.0,12.0,CAS1102-01,CCO1102-01,OBJECT-ORIENTED PROGRAMMING,2022,2
CCO1102-02-00,객체지향프로그래밍,이인권,"화7,8/목13",공D504/동영상콘텐츠,95.0,62.0,129.0,22.98,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2022,2
CCO1102-01-00,객체지향프로그래밍,유영재,"수5,금5,6",공D504,90.0,81.0,99.0,20.58,CAS1102-01,CCO1102-01,OBJECT-ORIENTED PROGRAMMING,2023,1
CCO1102-01-00,객체지향프로그래밍,박광현,"화4,5,6",I자A102,150.0,150.0,1.0,1.0,CAS1102-01,CCO1102-01,OBJECT-ORIENTED PROGRAMMING,2023,2
CCO1102-02-00,객체지향프로그래밍,이인권,"화6,7/목12",공D504/동영상(중복수강불가),90.0,72.0,103.0,21.09,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2023,2
CCO1102-01-00,객체지향프로그래밍,유영재,"화4,목2,3",공A428,90.0,81.0,79.0,15.0,CAS1102-01,CCO1102-01,OBJECT-ORIENTED PROGRAMMING,2024,1
CCO1102-01-00,객체지향프로그래밍,박광현,"월4,5,6",I자B202,180.0,180.0,2.0,18.5,CAS1102-01,CCO1102-01,OBJECT-ORIENTED PROGRAMMING,2024,2
CCO1102-02-00,객체지향프로그래밍,이인권,"수5,6/금13",공D504/동영상콘텐츠,90.0,72.0,69.0,17.97,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2
CAS1102-01-00,객체지향프로그래밍,유영재,"월1,2,수2",공D504,80.0,48.0,122.0,15.3,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2025,1
CAS1102-01-00,객체지향프로그래밍,이시윤,"화2,목2,3",공D504,100.0,100.0,34.0,6.47,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1
CSI2103-01-00,자료구조,황성재,"화6,목6,7",실시간온라인,100.0,70.0,177.0,21.15,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,1
CSI2103-01-00,자료구조,황성재,"수2,3,금2",공D404,95.0,67.0,138.0,25.93,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2
CCO2103-01-00,자료구조,안형찬,"화6,7,목7",공D504,87.0,63.0,107.0,22.49,CAS2103-01,CCO2103-01,DATA STRUCTURE,2023,1
CCO2103-02-00,자료구조,황성재,"수2,3,금2",공D504,90.0,63.0,138.0,18.49,CAS2103-01,CCO2103-02,DATA STRUCTURE,2023,1
CCO2103-01-00,자료구조,한요섭,"화3,목2,3",공D504,90.0,63.0,67.0,23.58,CAS2103-01,CCO2103-01,DATA STRUCTURE,2023,2
CCO2103-01-00,자료구조,안형찬,"수6,금5,6",공D504,90.0,63.0,65.0,16.74,CAS2103-01,CCO2103-01,DATA STRUCTURE,2024,1
CCO2103-02-00,자료구조,황성재,"화2,3,목4",공A428,90.0,63.0,185.0,25.81,CAS2103-01,CCO2103-02,DATA STRUCTURE,2024,1
CCO2103-01-00,자료구조,한요섭,"화2,3,목2",공D504,90.0,63.0,78.0,14.72,CAS2103-01,CCO2103-01,DATA STRUCTURE,2024,2
CAS2103-01-00,자료구조,안형찬,"수5,금5,6",공D504,60.0,48.0,50.0,16.38,CAS2103-01,CAS2103-01,DATA STRUCTURE,2025,1
CAS2103-01-00,자료구조,한요섭,"화5,6,목4",공학원170E,75.0,60.0,63.0,16.41,CAS2103-01,CAS2103-01,DATA STRUCTURE,2025,2
CAS2103-01-00,자료구조,안형찬,"수5,금5,6",공D408,75.0,60.0,40.0,11.5,CAS2103-01,CAS2103-01,DATA STRUCTURE,2026,1
CSI2103-01-00,자료구조,황성재,"화6,목6,7",실시간온라인,100.0,70.0,177.0,21.15,CAS2103-02,CSI2103-01,DATA STRUCTURE,2022,1
CSI2103-01-00,자료구조,황성재,"수2,3,금2",공D404,95.0,67.0,138.0,25.93,CAS2103-02,CSI2103-01,DATA STRUCTURE,2022,2
CCO2103-01-00,자료구조,안형찬,"화6,7,목7",공D504,87.0,63.0,107.0,22.49,CAS2103-02,CCO2103-01,DATA STRUCTURE,2023,1
CCO2103-02-00,자료구조,황성재,"수2,3,금2",공D504,90.0,63.0,138.0,18.49,CAS2103-02,CCO2103-02,DATA STRUCTURE,2023,1
CCO2103-01-00,자료구조,한요섭,"화3,목2,3",공D504,90.0,63.0,67.0,23.58,CAS2103-02,CCO2103-01,DATA STRUCTURE,2023,2
CCO2103-01-00,자료구조,안형찬,"수6,금5,6",공D504,90.0,63.0,65.0,16.74,CAS2103-02,CCO2103-01,DATA STRUCTURE,2024,1
CCO2103-02-00,자료구조,황성재,"화2,3,목4",공A428,90.0,63.0,185.0,25.81,CAS2103-02,CCO2103-02,DATA STRUCTURE,2024,1
CCO2103-01-00,자료구조,한요섭,"화2,3,목2",공D504,90.0,63.0,78.0,14.72,CAS2103-02,CCO2103-01,DATA STRUCTURE,2024,2
CAS2103-02-00,자료구조,황성재,"수5,금5,6",공학원170E,60.0,48.0,167.0,31.58,CAS2103-02,CAS2103-02,DATA STRUCTURE,2025,1
CAS2103-02-00,자료구조,황성재,"수5,금5,6",공D504,75.0,60.0,98.0,32.48,CAS2103-02,CAS2103-02,DATA STRUCTURE,2026,1
CSI2103-01-00,자료구조,황성재,"화6,목6,7",실시간온라인,100.0,70.0,177.0,21.15,CAS2103-03,CSI2103-01,DATA STRUCTURE,2022,1
CSI2103-01-00,자료구조,황성재,"수2,3,금2",공D404,95.0,67.0,138.0,25.93,CAS2103-03,CSI2103-01,DATA STRUCTURE,2022,2
CCO2103-01-00,자료구조,안형찬,"화6,7,목7",공D504,87.0,63.0,107.0,22.49,CAS2103-03,CCO2103-01,DATA STRUCTURE,2023,1
CCO2103-02-00,자료구조,황성재,"수2,3,금2",공D504,90.0,63.0,138.0,18.49,CAS2103-03,CCO2103-02,DATA STRUCTURE,2023,1
CCO2103-01-00,자료구조,한요섭,"화3,목2,3",공D504,90.0,63.0,67.0,23.58,CAS2103-03,CCO2103-01,DATA STRUCTURE,2023,2
CCO2103-01-00,자료구조,안형찬,"수6,금5,6",공D504,90.0,63.0,65.0,16.74,CAS2103-03,CCO2103-01,DATA STRUCTURE,2024,1
