course_code,base_code,course_name,professor,professor_norm,year,semester,recency_weight,sample_weight,data_tier,winning_threshold,major_quota_threshold,threshold_yr1,threshold_yr2,threshold_yr3,threshold_yr4,inferred_class_size,priority_seats_used,competitive_seats,total_applicants,competitive_applicants,acceptance_rate,competition_ratio,max_winning_bid,avg_winning_bid,avg_all_bids,bid_std,raw_min_winning_bid,dominant_winner_year,pct_yr2_winners,pct_yr3_winners,pct_yr4_winners
CAS1102-01,CAS1102,OBJECT-ORIENTED PROGRAMMING,김선주,김선주,2022,2,0.75,1.5,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
CAS1102-01,CAS1102,OBJECT-ORIENTED PROGRAMMING,이인권,이인권,2022,2,0.75,1.5,2,37.0,1.0,37.0,37.0,37.0,37.0,80,0,80,125,125,0.608,1.5625,36.0,20.76,23.33,13.9,1.0,3,0.368,0.395,0.237
CAS2101-01,CAS2101,DISCRETE MATHEMATICS,김영석,김영석,2022,2,0.75,1.5,2,36.0,3.0,36.0,36.0,36.0,36.0,184,0,184,220,220,0.8273,1.1957,36.0,20.15,20.63,11.5,3.0,2,0.67,0.22,0.11
CAS2101-02,CAS2101,DISCRETE MATHEMATICS,김영석,김영석,2022,2,0.75,1.5,2,36.0,3.0,36.0,36.0,36.0,36.0,184,0,184,220,220,0.8273,1.1957,36.0,20.15,20.63,11.5,3.0,2,0.67,0.22,0.11
CAS2101-01,CAS2101,DISCRETE MATHEMATICS,이수경,이수경,2022,1,0.5,1.0,2,37.0,13.0,37.0,37.0,37.0,37.0,160,0,160,284,284,0.5423,1.775,36.0,21.96,19.13,11.9,12.0,2,0.584,0.312,0.104
CAS2101-02,CAS2101,DISCRETE MATHEMATICS,이수경,이수경,2022,1,0.5,1.0,2,37.0,13.0,37.0,37.0,37.0,37.0,160,0,160,284,284,0.5423,1.775,36.0,21.96,19.13,11.9,12.0,2,0.584,0.312,0.104
CAS2103-01,CAS2103,DATA STRUCTURE,황성재,황성재,2022,1,0.5,1.0,2,37.0,5.0,37.0,37.0,37.0,37.0,186,0,186,525,525,0.3429,2.8226,36.0,25.28,21.25,12.03,5.0,2,0.4,0.3,0.3
CAS2103-02,CAS2103,DATA STRUCTURE,황성재,황성재,2022,1,0.5,2.5,1,37.0,5.0,37.0,37.0,37.0,37.0,186,0,186,525,525,0.3429,2.8226,36.0,25.28,21.25,12.03,5.0,2,0.4,0.3,0.3
CAS2103-03,CAS2103,DATA STRUCTURE,황성재,황성재,2022,1,0.5,1.0,2,37.0,5.0,37.0,37.0,37.0,37.0,186,0,186,525,525,0.3429,2.8226,36.0,25.28,21.25,12.03,5.0,2,0.4,0.3,0.3
CAS2103-01,CAS2103,DATA STRUCTURE,황성재,황성재,2022,2,0.75,1.5,2,37.0,3.0,37.0,37.0,37.0,37.0,219,0,219,405,405,0.5185,1.8493,36.0,22.54,26.24,12.17,3.0,2,0.5,0.257,0.243
CAS2103-02,CAS2103,DATA STRUCTURE,황성재,황성재,2022,2,0.75,3.75,1,37.0,3.0,37.0,37.0,37.0,37.0,219,0,219,405,405,0.5185,1.8493,36.0,22.54,26.24,12.17,3.0,2,0.5,0.257,0.243
CAS2103-03,CAS2103,DATA STRUCTURE,황성재,황성재,2022,2,0.75,1.5,2,37.0,3.0,37.0,37.0,37.0,37.0,219,0,219,405,405,0.5185,1.8493,36.0,22.54,26.24,12.17,3.0,2,0.5,0.257,0.243
CAS2106-01,CAS2106,INTRODUCTION TO COMPUTER SCIENCE,송도경,송도경,2022,2,0.75,1.5,2,18.0,18.0,18.0,18.0,18.0,18.0,64,0,64,105,105,0.5238,1.6406,36.0,23.85,18.57,7.86,18.0,3,0.255,0.382,0.364
CAS2106-01,CAS2106,INTRODUCTION TO COMPUTER SCIENCE,최종현,최종현,2022,1,0.5,1.0,2,24.0,15.0,24.0,24.0,24.0,22.0,60,0,60,152,152,0.3947,2.5333,36.0,24.4,14.84,10.09,14.0,2,0.55,0.317,0.133
CAS2109-01,CAS2109,INTERNET PROGRAMMING,이경호,이경호,2022,1,0.5,2.5,1,4.0,1.0,4.0,2.0,2.0,4.0,58,0,58,69,69,0.8406,1.1897,36.0,9.64,8.29,9.27,1.0,2,0.655,0.138,0.207
CAS3101-02,CAS3101,OPERATING SYSTEM,차호정,차호정,2022,1,0.5,1.0,2,37.0,1.0,37.0,1.0,37.0,37.0,131,0,131,161,161,0.8137,1.229,36.0,15.55,17.49,11.91,1.0,3,0.046,0.603,0.351
