no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
1,0,12,N(N),4,N,Y,0.9603,0.8333,4,Y,Y,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
2,1,36,Y(N),6,N,Y,0.4185,0.9736,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
3,2,36,Y(Y),5,N,Y,0.75,0.9027,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
4,3,36,N(N),6,N,Y,0.4722,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
5,4,36,N(N),6,N,Y,0.4682,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
6,5,36,N(N),6,N,Y,0.4148,0.9736,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
7,6,33,Y(N),6,N,Y,0.4703,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
8,7,30,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
9,8,30,Y(Y),5,N,Y,0.4269,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
10,9,30,Y(Y),3,N,Y,0.273,0.7105,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
11,10,30,N(N),6,N,Y,0.95,1,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
12,11,30,N(N),6,N,Y,0.2851,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
13,12,28,N(N),6,N,Y,0.8968,0.8333,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
14,13,27,N(N),3,N,Y,0.5,0.9375,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
15,14,26,Y(Y),4,N,Y,0.5,0.9027,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
16,15,25,N(N),5,N,Y,0.75,1,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
17,16,25,N(N),4,N,Y,0.5952,0.6666,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
18,17,24,Y(Y),4,N,Y,0.5,0.9027,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
19,18,23,N(N),6,N,Y,0.5753,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
20,19,23,N(N),6,N,Y,0.3666,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
21,20,22,Y(N),5,N,Y,0.8357,0.9473,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
22,21,22,N(N),6,N,Y,0.8968,1,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
23,22,22,N(N),6,N,Y,0.5153,0.5,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
24,23,22,N(N),6,N,Y,0.4703,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
25,24,20,Y(Y),6,N,Y,0.75,0.9027,4,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
26,25,20,N(N),6,N,Y,0.9047,1,4,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
27,26,20,N(N),6,N,Y,0.4407,1,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
28,27,18,Y(Y),6,N,Y,0.6892,0.1578,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
29,28,18,N(N),4,N,Y,0.5,0.9722,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
30,29,17,Y(Y),6,N,Y,0.5964,0.8157,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
31,30,17,Y(Y),6,N,Y,0.5,0.9027,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
32,31,17,Y(Y),6,N,Y,0.3807,0.9736,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
33,32,16,Y(Y),6,N,Y,0.3961,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
34,33,15,Y(Y),4,N,Y,0.75,0.9027,4,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
35,34,15,N(N),6,N,Y,0.6825,1,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
36,35,14,Y(Y),6,N,Y,0.1,0.6842,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
37,36,12,Y(Y),6,N,Y,0.2846,0.7368,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
38,37,12,Y(Y),6,N,Y,0.2846,0.6578,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
39,38,12,Y(Y),6,N,N,0.3928,0.4736,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
40,39,12,N(N),6,N,Y,0.5,0.9375,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
41,40,9,Y(Y),6,N,Y,0.4038,0.9736,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
42,41,9,Y(Y),5,N,Y,0.3884,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
43,42,9,Y(Y),4,N,Y,0.75,0.9027,4,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
44,43,8,Y(Y),6,N,Y,0.473,0.8157,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
45,44,8,N(N),6,N,Y,0.7071,0.9473,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
46,45,8,N(N),6,N,Y,0.3968,0.9473,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
47,46,7,Y(N),6,N,Y,0.7936,1,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
48,47,7,Y(Y),6,N,Y,0.35,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
49,48,7,N(N),6,N,Y,0.4178,1,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
50,49,6,Y(Y),6,N,Y,0.373,0.6578,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
51,50,6,N(N),6,N,Y,0.5357,1,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
52,51,5,Y(Y),6,N,N,0.6769,0.8333,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
53,52,5,N(N),6,N,Y,0.6346,0.9736,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
54,53,4,Y(Y),6,N,Y,0.5,0.9027,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
55,54,4,N(N),6,N,Y,0.9444,1,4,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
56,55,3,Y(Y),6,N,Y,0.4115,0.8684,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
57,56,2,Y(Y),6,N,Y,0.323,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
58,57,2,N(N),6,N,Y,0.7619,1,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
59,58,2,N(N),6,N,Y,0.2936,1,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
60,59,1,Y(N),6,N,Y,0.6666,0.6944,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
61,60,1,Y(Y),6,N,Y,0.3884,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
62,61,1,Y(Y),6,N,Y,0.1923,0.421,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
63,62,1,N(N),6,N,Y,0.5555,1,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,2
