no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3116-01,Computer Vision,2025,1
1,1,36,Y(Y),6,N,Y,0.8653,0.8333,4,Y,N,CAS3116-01,Computer Vision,2025,1
2,2,36,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3116-01,Computer Vision,2025,1
3,3,36,Y(Y),5,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
4,4,36,Y(N),3,N,Y,0.8518,1,4,Y,N,CAS3116-01,Computer Vision,2025,1
5,5,36,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
6,6,36,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
7,7,36,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
8,8,36,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
9,9,36,N(N),6,N,Y,0.6865,0.9375,3,Y,N,CAS3116-01,Computer Vision,2025,1
10,10,36,N(N),5,N,Y,0.7936,1,3,Y,N,CAS3116-01,Computer Vision,2025,1
11,11,35,N(N),6,Y,Y,0.9571,0.6315,4,Y,N,CAS3116-01,Computer Vision,2025,1
12,12,35,N(N),6,N,Y,0.7851,0.9473,4,Y,N,CAS3116-01,Computer Vision,2025,1
13,13,30,Y(N),6,Y,Y,1,1,4,Y,N,CAS3116-01,Computer Vision,2025,1
14,14,30,Y(N),6,N,Y,0.6428,1,3,Y,N,CAS3116-01,Computer Vision,2025,1
15,15,30,Y(Y),5,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
16,16,30,N(N),6,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
17,17,28,Y(Y),5,N,Y,0.75,0.9027,4,Y,N,CAS3116-01,Computer Vision,2025,1
18,18,27,Y(Y),5,N,Y,0.6714,0.7894,4,Y,N,CAS3116-01,Computer Vision,2025,1
