no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3120-02,Machine Learning,2026,1
1,1,36,Y(N),6,N,Y,0.7619,1,4,Y,N,CAS3120-02,Machine Learning,2026,1
2,2,36,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3120-02,Machine Learning,2026,1
3,3,36,N(N),6,N,Y,0.4024,0.8541,2,Y,N,CAS3120-02,Machine Learning,2026,1
4,4,36,N(N),5,N,Y,0.5,0.9375,3,Y,N,CAS3120-02,Machine Learning,2026,1
5,5,30,N(N),6,Y,Y,1,0.625,4,Y,N,CAS3120-02,Machine Learning,2026,1
6,6,21,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3120-02,Machine Learning,2026,1
7,7,18,N(N),6,N,Y,0.4841,1,2,Y,N,CAS3120-02,Machine Learning,2026,1
8,8,17,Y(Y),6,N,Y,0.7846,1,3,Y,N,CAS3120-02,Machine Learning,2026,1
9,9,15,Y(N),6,N,Y,0.823,1,3,Y,N,CAS3120-02,Machine Learning,2026,1
10,10,15,N(N),6,N,Y,0.8809,0.8611,4,Y,N,CAS3120-02,Machine Learning,2026,1
11,11,15,N(N),6,N,Y,0.7807,1,4,Y,N,CAS3120-02,Machine Learning,2026,1
12,12,15,N(N),6,N,Y,0.6269,0.8333,3,Y,N,CAS3120-02,Machine Learning,2026,1
13,13,14,N(N),6,N,Y,0.8821,0.7894,4,Y,N,CAS3120-02,Machine Learning,2026,1
14,14,14,N(N),6,N,Y,0.8642,0.7894,4,Y,N,CAS3120-02,Machine Learning,2026,1
15,15,12,Y(N),6,N,Y,0.9642,0.8421,4,Y,N,CAS3120-02,Machine Learning,2026,1
16,16,12,Y(Y),5,N,Y,0.6214,0.9736,3,Y,N,CAS3120-02,Machine Learning,2026,1
17,17,11,N(N),6,N,Y,0.3412,1,2,Y,N,CAS3120-02,Machine Learning,2026,1
18,18,8,Y(N),6,N,Y,0.6428,1,3,Y,N,CAS3120-02,Machine Learning,2026,1
19,19,8,Y(Y),6,N,Y,0.3576,0.6578,3,Y,N,CAS3120-02,Machine Learning,2026,1
20,20,6,Y(Y),6,N,Y,0.5769,1,3,Y,N,CAS3120-02,Machine Learning,2026,1
21,21,6,Y(Y),6,N,Y,0.5615,0.8157,3,Y,N,CAS3120-02,Machine Learning,2026,1
22,22,5,Y(Y),6,Y,Y,0.8178,0.9473,4,Y,N,CAS3120-02,Machine Learning,2026,1
23,23,5,Y(N),6,N,Y,0.9777,0.9473,4,Y,N,CAS3120-02,Machine Learning,2026,1
24,24,5,Y(Y),6,N,Y,0.6846,0.8611,3,Y,N,CAS3120-02,Machine Learning,2026,1
25,25,5,Y(Y),6,N,Y,0.6769,0.8333,3,Y,N,CAS3120-02,Machine Learning,2026,1
26,26,5,N(N),6,N,Y,0.5487,1,2,Y,N,CAS3120-02,Machine Learning,2026,1
27,27,4,Y(Y),6,N,Y,0.5923,0.8157,3,Y,N,CAS3120-02,Machine Learning,2026,1
28,28,4,Y(Y),6,N,Y,0.3653,0.5,3,Y,N,CAS3120-02,Machine Learning,2026,1
29,29,4,N(N),6,Y,Y,0.8892,1,4,,N,CAS3120-02,Machine Learning,2026,1
30,30,3,Y(Y),6,N,Y,0.5615,0.9736,3,Y,N,CAS3120-02,Machine Learning,2026,1
31,31,3,Y(Y),6,N,Y,0.5346,0.8157,3,Y,N,CAS3120-02,Machine Learning,2026,1
32,32,3,Y(Y),6,N,Y,0.5076,0.7894,3,Y,N,CAS3120-02,Machine Learning,2026,1
33,33,3,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3120-02,Machine Learning,2026,1
34,34,3,N(N),6,N,Y,0.8307,0.8611,4,,N,CAS3120-02,Machine Learning,2026,1
35,35,2,Y(Y),6,N,Y,0.7461,0.9736,3,Y,N,CAS3120-02,Machine Learning,2026,1
36,36,2,Y(N),6,N,Y,0.7111,0.9473,3,,N,CAS3120-02,Machine Learning,2026,1
37,37,2,Y(Y),6,N,Y,0.6846,1,3,Y,N,CAS3120-02,Machine Learning,2026,1
