no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3208-01,Artificial Intelligence,2026,1
1,1,20,N(N),6,N,Y,0.5703,1,3,Y,N,CAS3208-01,Artificial Intelligence,2026,1
2,2,16,N(N),6,N,Y,0.5592,0.7916,2,Y,N,CAS3208-01,Artificial Intelligence,2026,1
3,3,14,N(N),6,N,Y,0.2925,1,2,Y,N,CAS3208-01,Artificial Intelligence,2026,1
4,4,12,N(N),6,N,Y,1,0.5,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
5,5,10,Y(Y),6,N,Y,0.5714,0.4736,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
6,6,8,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3208-01,Artificial Intelligence,2026,1
7,7,7,N(N),6,Y,N,1,0,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
8,8,6,Y(Y),6,N,Y,1,0.4736,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
9,9,2,Y(N),6,N,Y,0.5481,0.8684,3,Y,N,CAS3208-01,Artificial Intelligence,2026,1
10,10,2,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3208-01,Artificial Intelligence,2026,1
11,11,2,Y(Y),6,N,Y,0.4538,0.8684,2,Y,N,CAS3208-01,Artificial Intelligence,2026,1
12,12,2,Y(Y),6,N,Y,0.4153,0.9736,3,Y,N,CAS3208-01,Artificial Intelligence,2026,1
13,13,2,N(N),6,N,Y,0.8809,1,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
14,14,2,N(N),6,N,Y,0.8333,1,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
15,15,1,Y(N),6,N,Y,1,1,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
16,16,1,Y(N),6,N,Y,0.9365,1,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
17,17,1,Y(Y),6,N,Y,0.9071,0.7894,4,Y,N,CAS3208-01,Artificial Intelligence,2026,1
18,18,1,Y(Y),6,N,Y,0.8,1,3,Y,N,CAS3208-01,Artificial Intelligence,2026,1
19,19,1,Y(N),6,N,Y,0.6984,1,3,,N,CAS3208-01,Artificial Intelligence,2026,1
20,20,1,N(N),6,Y,Y,1,0.7894,4,,N,CAS3208-01,Artificial Intelligence,2026,1
21,21,1,N(N),3,Y,Y,1,0.6666,4,,N,CAS3208-01,Artificial Intelligence,2026,1
