no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3301-01,Natural Language Processing,2026,1
1,1,18,Y(Y),6,N,Y,0.3846,0.8157,2,Y,N,CAS3301-01,Natural Language Processing,2026,1
2,2,14,Y(Y),6,N,Y,0.5,0.8333,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
3,3,13,N(N),6,N,Y,0.9761,0.6666,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
4,4,12,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
5,5,11,Y(Y),6,Y,Y,0.9076,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
6,6,9,Y(Y),6,N,Y,0.6153,1,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
7,7,7,Y(Y),6,N,Y,0.8076,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
8,8,7,Y(Y),6,N,Y,0.3653,0,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
9,9,6,Y(Y),6,N,Y,0.6357,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
10,10,5,Y(Y),6,N,Y,0.775,0.9473,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
11,11,4,Y(Y),6,N,Y,0.7653,0.6666,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
12,12,4,N(N),6,Y,Y,0.9523,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
13,13,3,Y(Y),6,N,Y,0.523,0.8157,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
14,14,3,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
15,15,2,Y(N),6,N,N,0.9984,0.8888,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
16,16,2,N(N),6,N,Y,0.3259,1,2,Y,N,CAS3301-01,Natural Language Processing,2026,1
17,17,1,Y(N),6,Y,Y,1,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
18,18,1,Y(N),6,N,Y,0.8666,0.7894,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
19,19,1,Y(Y),6,N,Y,0.7642,0.9473,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
20,20,1,Y(Y),6,N,Y,0.6076,0.9736,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
21,21,1,Y(Y),6,N,Y,0.5769,0.9736,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
22,22,1,Y(Y),6,N,Y,0.5615,0.8157,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
23,23,1,Y(Y),6,N,Y,0.4769,0.6315,3,Y,N,CAS3301-01,Natural Language Processing,2026,1
24,24,1,Y(Y),6,N,N,0.8615,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
25,25,1,Y(N),5,N,Y,0.8571,1,4,Y,N,CAS3301-01,Natural Language Processing,2026,1
26,26,1,N(N),6,N,Y,0.3333,1,2,Y,N,CAS3301-01,Natural Language Processing,2026,1
