no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4101-01,Computer Capstone Design,2025,2
1,1,36,Y(Y),3,Y,Y,0.9692,0.8888,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
2,2,12,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
3,3,5,Y(Y),6,Y,Y,0.8928,0.8421,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
4,4,5,Y(Y),6,Y,Y,0.8923,1,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
5,5,4,Y(Y),6,Y,Y,0.8928,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
6,6,4,Y(Y),6,N,Y,0.7692,1,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
7,7,4,Y(Y),6,N,Y,0.7653,1,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
8,8,2,Y(Y),6,N,Y,0.8153,0.8888,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
9,9,2,Y(Y),5,Y,Y,0.9214,1,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
10,10,1,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
11,11,1,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
12,12,1,Y(Y),6,Y,Y,0.9928,1,4,Y,N,CAS4101-01,Computer Capstone Design,2025,2
13,13,1,Y(Y),6,Y,Y,0.9,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
14,14,1,Y(Y),6,Y,Y,0.8964,0.7894,4,,N,CAS4101-01,Computer Capstone Design,2025,2
15,15,1,Y(Y),6,Y,Y,0.8928,1,4,,N,CAS4101-01,Computer Capstone Design,2025,2
16,16,1,Y(Y),6,Y,Y,0.8928,0.8421,4,,N,CAS4101-01,Computer Capstone Design,2025,2
17,17,1,Y(Y),6,Y,Y,0.8857,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
18,18,1,Y(Y),6,N,Y,0.8714,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
19,19,1,Y(Y),6,N,Y,0.8384,1,4,,N,CAS4101-01,Computer Capstone Design,2025,2
20,20,1,Y(Y),6,N,Y,0.8153,0.8333,4,,N,CAS4101-01,Computer Capstone Design,2025,2
21,21,1,Y(Y),6,N,Y,0.8,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
22,22,1,Y(Y),6,N,Y,0.7769,1,4,,N,CAS4101-01,Computer Capstone Design,2025,2
23,23,1,Y(Y),6,N,Y,0.7769,0.8333,4,,N,CAS4101-01,Computer Capstone Design,2025,2
24,24,1,Y(Y),6,N,Y,0.7535,0.7894,4,,N,CAS4101-01,Computer Capstone Design,2025,2
25,25,1,Y(Y),6,N,Y,0.7357,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
26,26,1,Y(Y),6,N,Y,0.7285,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
27,27,1,Y(Y),6,N,Y,0.7071,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2025,2
28,28,1,Y(Y),6,N,Y,0.6769,0.8333,4,,N,CAS4101-01,Computer Capstone Design,2025,2
29,29,1,Y(Y),5,Y,Y,0.9357,1,4,,N,CAS4101-01,Computer Capstone Design,2025,2
30,30,1,Y(Y),5,N,Y,0.773,1,4,,N,CAS4101-01,Computer Capstone Design,2025,2
31,31,1,Y(Y),4,Y,Y,0.9153,1,4,,N,CAS4101-01,Computer Capstone Design,2025,2
