no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
1,1,36,Y(Y),6,N,Y,0.4461,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
2,2,36,Y(Y),6,N,Y,0.3846,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
3,3,36,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
4,4,36,Y(Y),6,N,Y,0.3115,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
5,5,36,Y(Y),6,N,Y,0.3076,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
6,6,36,Y(Y),6,N,Y,0.273,0.9736,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
7,7,36,Y(Y),6,N,Y,0.2692,0.9473,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
8,8,36,Y(Y),6,N,Y,0.2384,0.8947,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
9,9,32,Y(Y),6,N,Y,0.2384,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
10,10,31,Y(Y),6,N,Y,0.4,0.7105,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
11,11,30,Y(Y),6,N,Y,0.2461,0.8947,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
12,12,27,Y(Y),6,N,Y,0.2615,0.7368,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
13,13,27,Y(Y),6,N,Y,0.2538,0.7105,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
14,14,26,Y(Y),6,N,Y,0.3846,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
15,15,26,Y(Y),6,N,Y,0.2538,0.8421,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
16,16,25,Y(Y),6,N,Y,0.3076,0.8947,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
17,17,25,Y(Y),6,N,Y,0.2807,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
18,18,25,Y(Y),6,N,Y,0.2692,0.8947,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
19,19,25,Y(Y),6,N,N,0.5692,1,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
20,20,24,Y(Y),6,N,Y,0.3807,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
21,21,24,Y(Y),6,N,Y,0.3769,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
22,22,24,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
23,23,24,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2026,1
