no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
1,1,36,Y(Y),3,Y,Y,1,0.7894,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
2,2,23,Y(Y),4,Y,Y,0.9214,0.6315,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
3,3,18,Y(Y),6,N,N,0.5538,1,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
4,4,18,Y(Y),3,Y,Y,1,0.6842,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
5,5,17,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
6,6,16,Y(Y),6,N,Y,0.8,0.6315,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
7,7,16,Y(Y),6,N,Y,0.2807,0.8684,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
8,8,15,Y(Y),6,N,Y,0.6269,0.8333,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
9,9,15,Y(Y),6,N,Y,0.3,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
10,10,13,Y(Y),6,N,Y,0.2615,0.8684,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
11,11,12,Y(Y),6,N,Y,0.2846,0.6578,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
12,12,12,Y(Y),6,N,Y,0.2615,0.7368,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
13,13,10,Y(Y),6,N,Y,0.4461,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
14,14,10,Y(Y),6,N,Y,0.3307,0.7894,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
15,15,10,Y(Y),6,N,N,0.4307,0.8157,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
16,16,9,Y(Y),6,N,Y,0.3,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
17,17,7,Y(Y),6,N,Y,0.2615,0.8421,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
18,18,6,Y(Y),6,N,Y,0.2538,0.9473,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
19,19,5,Y(Y),6,N,Y,0.6615,1,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
20,20,5,Y(Y),6,N,Y,0.2384,0.7368,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
21,21,4,Y(Y),6,N,Y,0.8615,0.8888,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
22,22,4,Y(Y),6,N,Y,0.2615,0.8947,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
23,23,3,Y(Y),6,N,Y,0.3653,0.8157,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
24,24,3,Y(Y),6,N,Y,0.3615,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
25,25,3,Y(Y),6,N,Y,0.3384,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
26,26,3,Y(Y),6,N,Y,0.3153,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
27,27,3,Y(Y),6,N,Y,0.3153,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
28,28,3,Y(Y),6,N,Y,0.3153,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
29,29,3,Y(Y),6,N,Y,0.2923,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
30,30,3,Y(Y),6,N,Y,0.2423,0.7368,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
31,31,3,Y(Y),6,N,Y,0.2346,0.8947,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
32,32,2,Y(Y),6,Y,N,0.9,1,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
33,33,2,Y(Y),6,N,Y,0.8214,0.7894,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
34,34,2,Y(Y),6,N,Y,0.5928,0.8157,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
35,35,2,Y(Y),6,N,Y,0.5142,1,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
36,36,2,Y(Y),6,N,Y,0.5038,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
37,37,2,Y(Y),6,N,Y,0.35,0.6315,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
38,38,2,Y(Y),6,N,Y,0.3346,0.4736,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
39,39,2,Y(Y),6,N,Y,0.2923,0.9473,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
40,40,2,Y(Y),6,N,Y,0.2923,0.9473,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
41,41,2,Y(Y),6,N,Y,0.2846,0.8421,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
42,42,2,Y(Y),6,N,Y,0.2807,0.8684,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
43,43,2,Y(Y),6,N,Y,0.2692,0.8157,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
44,44,2,Y(Y),6,N,Y,0.2576,0.8947,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
45,45,2,Y(Y),6,N,Y,0.2461,0.8157,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
46,46,2,Y(Y),6,N,Y,0.2461,0.6315,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
47,47,1,Y(Y),6,Y,Y,1,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
48,48,1,Y(Y),6,Y,Y,1,0.6315,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
49,49,1,Y(Y),6,N,Y,0.9357,0.8947,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
50,50,1,Y(Y),6,N,Y,0.4346,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
51,51,1,Y(Y),6,N,Y,0.3961,0.8684,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2025,1
