no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
1,0,12,Y(Y),6,N,N,0.4884,0.8157,3,Y,Y,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
2,1,16,Y(Y),6,N,Y,0.2769,0.8684,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
3,2,15,Y(Y),6,N,N,0.8142,0.7894,4,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
4,3,14,Y(Y),6,N,Y,0.5185,1,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
5,4,13,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
6,5,13,Y(Y),6,N,Y,0.4538,0.8684,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
7,6,12,Y(Y),6,N,Y,0.4333,0.9736,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
8,7,12,Y(Y),6,N,Y,0.2269,0.6578,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
9,8,12,Y(Y),6,N,N,0.4884,0.9473,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
10,9,12,Y(Y),5,Y,Y,1,0.5277,4,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
11,10,10,Y(Y),6,N,Y,0.5923,0.8684,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
12,11,10,Y(Y),6,N,Y,0.3846,0.8157,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
13,12,8,Y(Y),6,N,N,0.5846,1,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
14,13,8,Y(Y),6,N,N,0.2846,0.8947,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
15,14,6,Y(Y),6,N,Y,0.45,0.6315,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
16,15,6,Y(Y),6,N,Y,0.2961,0.9473,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
17,16,6,Y(Y),6,N,Y,0.2076,0.3684,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
18,17,6,Y(Y),6,N,N,0.273,0.9473,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
19,18,6,Y(Y),5,N,Y,0.7619,1,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
20,19,5,Y(Y),6,N,Y,0.4,0.1842,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
21,20,4,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
22,21,2,Y(Y),6,N,N,0.1807,0.8421,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
23,22,1,Y(Y),6,N,Y,0.674,1,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
24,23,1,Y(Y),6,N,Y,0.5923,1,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
25,24,1,Y(Y),6,N,Y,0.5692,1,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
26,25,1,Y(Y),6,N,Y,0.5576,0.9736,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
27,26,1,Y(Y),6,N,Y,0.3961,0.9736,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
28,27,1,Y(Y),6,N,Y,0.3576,0.921,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
29,28,1,Y(Y),6,N,Y,0.123,0.7894,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
30,29,1,Y(Y),6,N,N,0.6923,0.8333,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
31,30,1,Y(Y),6,N,N,0.6076,0.9736,3,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
32,31,1,Y(Y),6,N,N,0.473,0.6578,2,Y,N,CAS1102-01,CAS1102-01,OBJECT-ORIENTED PROGRAMMING,2026,1,이시윤,이시윤,"화2,목2,3",100.0,100.0,6.47,34.0
