no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
1,0,12,N(N),6,N,Y,0.4563,0.9722,2,Y,Y,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
2,0,12,N(N),6,Y,Y,0.9407,0.9473,4,Y,Y,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
3,1,36,Y(Y),6,Y,Y,1,0.625,4,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
4,2,36,Y(Y),6,N,N,0.7,0.8333,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
5,3,36,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
6,4,36,N(N),6,Y,Y,0.9,0.7894,4,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
7,5,36,N(N),6,N,Y,0.746,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
8,6,36,N(N),6,N,Y,0.6392,0.9473,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
9,7,36,N(N),6,N,Y,0.5357,1,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
10,8,36,N(N),6,N,Y,0.5074,0.9736,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
11,9,36,N(N),6,N,Y,0.4629,0.9736,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
12,10,36,N(N),6,N,Y,0.45,0.9736,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
13,11,36,N(N),6,N,Y,0.4484,0.9722,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
14,12,36,N(N),6,N,Y,0.4246,1,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
15,13,36,N(N),6,N,Y,0.4206,0.8611,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
16,14,36,N(N),6,N,Y,0.4185,0.9736,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
17,15,36,N(N),6,N,Y,0.3888,0.921,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
18,16,36,N(N),6,N,Y,0.3888,0.8888,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
19,17,36,N(N),6,N,Y,0.2,0.8947,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
20,18,36,N(N),6,N,Y,0.1309,0.5277,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
21,19,36,N(N),5,N,Y,0.4484,1,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
22,20,36,N(N),4,N,Y,0.6035,0.9473,3,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
23,21,36,N(N),4,N,Y,0.4484,0.8611,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
24,22,36,N(N),3,Y,Y,1,0.625,4,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
25,23,36,N(N),1,N,Y,1,0.9473,4,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
26,24,34,N(N),6,N,Y,0.4259,0.9736,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
27,25,25,N(N),6,N,Y,0.4333,0.9736,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
28,26,23,N(N),6,N,Y,0.496,1,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
29,27,22,N(N),6,N,Y,0.238,0.6111,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
30,28,21,N(N),6,N,Y,0.5912,1,3,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
31,29,21,N(N),6,N,Y,0.488,0.8611,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
32,30,19,N(N),6,N,Y,0.5038,1,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
33,31,19,N(N),6,N,Y,0.4259,0.8684,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
34,32,17,N(N),6,N,Y,0.4629,1,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
35,33,17,N(N),5,Y,Y,0.9214,0.9473,4,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
36,34,16,N(N),5,N,Y,0.3269,0.9736,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
37,35,15,Y(Y),6,N,N,0.4192,0.9736,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
38,36,14,N(N),6,N,Y,0.873,0.8888,4,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
39,37,13,Y(Y),6,N,Y,0.4722,0.9166,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
40,38,10,N(N),6,N,N,0.7307,1,3,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
41,39,8,Y(Y),6,N,Y,0.5269,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
42,40,8,Y(Y),6,N,Y,0.1538,0.8947,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
43,41,7,Y(Y),6,N,Y,0.8571,0.7894,4,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
44,42,7,Y(Y),6,N,Y,0.5873,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
45,43,7,Y(Y),6,N,N,0.2807,1,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
46,44,6,N(N),6,N,Y,0.6904,0.8888,3,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
47,45,5,Y(Y),6,N,N,0.4115,0.8157,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
48,46,5,Y(Y),6,N,N,0.3857,0.9736,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
49,47,5,Y(Y),6,N,N,0.373,0.7894,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
50,48,5,Y(Y),6,N,N,0.3076,0.6842,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
51,49,5,N(N),6,N,Y,0.3296,0.8684,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
52,50,4,Y(Y),6,N,Y,0.0884,0.6052,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
53,51,4,N(N),6,Y,N,0.9246,1,4,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
54,52,3,Y(Y),6,N,Y,0.7539,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
55,53,3,Y(Y),6,N,Y,0.4407,1,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
56,54,3,Y(Y),6,N,Y,0.2307,0.8684,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
57,55,3,Y(Y),6,N,N,0.4269,0.8157,2,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
58,56,2,Y(Y),6,N,N,0.7142,0.9473,4,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
59,57,2,N(N),6,N,Y,0.4801,1,2,,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
60,58,1,Y(Y),6,Y,N,0.9444,0.7222,4,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
61,59,1,Y(Y),6,N,Y,0.85,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
62,60,1,Y(Y),6,N,Y,0.7142,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
63,61,1,Y(Y),6,N,Y,0.5952,1,3,Y,N,CAS1102-01,CCO1102-02,OBJECT-ORIENTED PROGRAMMING,2024,2,이인권,이인권,"수5,6/금13",90.0,72.0,17.97,69.0
