no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
1,0,12,N(N),6,N,Y,0.8174,1,4,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
2,0,12,Y(Y),6,N,N,0.5307,1,3,Y,Y,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
3,0,12,Y(Y),6,N,Y,0.2692,1,2,Y,Y,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
4,1,36,Y(N),6,N,Y,0.6,0.9736,3,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
5,2,36,Y(Y),6,N,Y,0.2923,0.9473,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
6,3,36,N(N),6,Y,Y,1,0.3157,4,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
7,4,36,N(N),6,N,Y,0.5952,1,3,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
8,5,36,N(N),6,N,Y,0.3174,0.8611,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
9,6,36,N(N),6,N,Y,0.274,0.8421,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
10,7,33,Y(Y),6,N,Y,0.2923,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
11,8,33,N(N),6,N,Y,0.4629,0.9736,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
12,9,32,N(N),6,N,Y,0.5692,0.9166,3,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
13,10,31,Y(Y),6,N,Y,0.2653,0.9473,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
14,11,31,N(N),6,N,Y,0.3307,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
15,12,30,Y(Y),6,N,Y,0.3384,0.6315,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
16,13,30,Y(Y),6,N,Y,0.2307,0.7368,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
17,14,30,N(N),6,N,Y,0.2579,0.8611,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
18,15,29,Y(Y),6,N,Y,0.3038,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
19,16,28,N(N),6,N,Y,0.4923,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
20,17,27,Y(Y),6,N,Y,0.3038,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
21,18,26,Y(N),6,Y,Y,1,0.5,4,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
22,19,26,Y(Y),6,N,Y,0.3076,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
23,20,26,Y(Y),6,N,Y,0.2769,0.8684,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
24,21,26,Y(Y),6,N,Y,0.2384,0.7368,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
25,22,26,N(N),6,N,Y,0.2817,1,2,Y,N,CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1
