no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
1,1,36,N(N),6,Y,Y,1,0.9473,4,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
2,2,36,N(N),6,N,Y,0.3095,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
3,3,30,Y(N),6,Y,Y,0.992,0.5,4,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
4,4,29,N(N),6,N,Y,0.3259,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
5,5,23,N(N),6,N,N,0.369,0.6666,3,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
6,6,22,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
7,7,22,N(N),6,N,Y,0.4047,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
8,8,22,N(N),6,N,Y,0.3571,0.8333,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
9,9,20,N(N),6,N,Y,0.4047,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
10,10,18,Y(Y),6,N,Y,0.3,0.9736,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
11,11,17,Y(N),6,Y,N,1,0.9473,4,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
12,12,17,N(N),6,N,Y,0.3531,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
13,13,16,Y(Y),6,N,Y,0.3769,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
14,14,16,Y(Y),6,N,Y,0.2538,0.7105,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
15,15,11,Y(Y),6,N,Y,0.273,0.9473,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
16,16,11,N(N),5,Y,Y,0.8814,0.9736,4,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
17,17,10,Y(N),6,N,Y,0.8888,1,4,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
18,18,10,Y(Y),6,N,Y,0.3153,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
19,19,10,N(N),6,N,Y,0.2936,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
20,20,8,Y(N),6,N,Y,0.5259,0.9736,3,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
21,21,8,Y(N),6,N,N,0.9777,0.9473,4,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
22,22,5,Y(N),6,N,Y,0.9126,1,4,,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
23,23,5,Y(Y),6,N,Y,0.3615,0.8947,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
24,24,5,Y(Y),6,N,Y,0.3307,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
25,25,5,Y(Y),6,N,Y,0.3307,0.8947,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
26,26,5,Y(Y),6,N,Y,0.3038,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
27,27,5,Y(Y),6,N,Y,0.2692,0.9473,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
28,28,5,Y(Y),6,N,Y,0.2461,0.9473,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
29,29,5,Y(Y),5,N,Y,0.3307,0.8421,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
30,30,5,N(N),6,Y,Y,1,0.6315,4,,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
31,31,4,Y(Y),6,N,Y,0.5346,0.8421,3,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
32,32,4,Y(Y),6,N,Y,0.3153,1,2,Y,N,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1,이진규,이진규,"화8,9,목7",75.0,60.0,6.7,76.0
