no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
1,1,36,Y(N),6,N,Y,0.674,0.789,3,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
2,2,36,Y(N),6,N,Y,0.659,1,3,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
3,3,36,Y(N),6,N,Y,0.526,0.974,3,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
4,4,36,Y(Y),6,N,Y,0.511,0.974,3,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
5,5,36,Y(N),6,N,Y,0.48,1,2,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
6,6,36,N(N),6,Y,Y,1,1,4,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
7,7,36,N(N),6,Y,Y,1,0.5,4,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
8,8,36,N(N),6,Y,Y,0.95,1,4,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
9,9,36,N(N),6,N,Y,0.919,0.947,4,Y,N,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2,김영석,김영석,"화6,목6,7",95.0,68.0,20.55,111.0
