no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
1,1,36,N(N),6,N,Y,0.5259,0.8157,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
2,2,36,N(N),6,N,Y,0.3095,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
3,3,36,N(N),6,N,Y,0.3037,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
4,4,36,N(N),6,N,Y,0.3037,0.5789,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
5,5,36,N(N),6,N,Y,0.3015,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
6,6,36,N(N),6,N,Y,0.2481,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
7,7,36,N(N),6,N,Y,0.2407,0.8157,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
8,8,36,N(N),5,Y,N,0.9071,1,4,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
9,9,34,N(N),6,N,Y,0.3492,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
10,10,33,Y(Y),6,N,Y,0.2923,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
11,11,29,N(N),6,N,Y,0.2814,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
12,12,24,N(N),6,N,Y,0.4603,1,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
13,13,23,Y(Y),6,N,Y,0.2307,0.7368,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
14,14,23,N(N),6,N,Y,0.6984,0.8611,3,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
15,15,22,N(N),6,Y,Y,0.8666,0.9473,4,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
16,16,22,N(N),6,N,Y,0.6507,0.9722,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
17,17,20,Y(Y),6,N,Y,0.2846,0.7368,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
18,18,20,N(N),6,N,Y,0.2579,0.8611,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
19,19,19,N(N),6,N,Y,0.5952,1,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
20,20,17,Y(N),6,N,Y,0.619,1,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
21,21,17,N(N),6,N,Y,0.5629,0.8684,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
22,22,17,N(N),6,N,Y,0.4365,1,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
23,23,15,N(N),6,N,Y,0.6592,0.9473,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
24,24,15,N(N),6,N,Y,0.5444,0.6578,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
25,25,15,N(N),6,N,Y,0.3428,0.3157,3,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
26,26,14,N(N),6,N,Y,0.274,0.8421,2,,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
27,27,13,Y(Y),6,N,Y,0.2615,0.8947,2,Y,N,CAS2103-01,자료구조 (DATA STRUCTURE),2025,1
