no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
1,1,36,Y(N),6,Y,Y,0.956,0.833,4,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
2,2,36,Y(N),6,N,Y,0.9,0.947,4,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
3,3,36,Y(N),6,N,Y,0.857,1,4,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
4,4,36,Y(N),6,N,Y,0.754,1,3,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
5,5,36,Y(N),6,N,Y,0.667,1,3,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
6,6,36,Y(N),6,N,Y,0.641,0.816,3,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
7,7,36,Y(N),6,N,Y,0.548,0.816,3,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
8,8,36,Y(N),6,N,Y,0.48,0.972,2,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
9,9,36,Y(N),6,N,Y,0.472,1,2,Y,N,CAS2103-01,CSI2103-01,DATA STRUCTURE,2022,2,황성재,황성재,"수2,3,금2",95.0,67.0,25.93,138.0
