no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS2103-02,DATA STRUCTURE,2026,1
1,1,36,Y(N),6,N,Y,0.9523,1,4,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
2,2,36,Y(N),6,N,Y,0.9365,1,4,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
3,3,36,Y(N),6,N,Y,0.8253,1,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
4,4,36,Y(Y),6,N,Y,0.8076,1,4,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
5,5,36,Y(N),6,N,Y,0.6031,1,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
6,6,36,Y(Y),6,N,Y,0.5923,0.8157,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
7,7,36,Y(Y),6,N,Y,0.5846,1,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
8,8,36,Y(Y),6,N,Y,0.5692,0.9736,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
9,9,36,Y(Y),6,N,Y,0.5538,0.9736,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
10,10,36,Y(Y),6,N,Y,0.5269,0.5,4,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
11,11,36,Y(Y),6,N,Y,0.5153,1,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
12,12,36,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
13,13,36,Y(Y),6,N,Y,0.4846,1,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
14,14,36,Y(Y),6,N,Y,0.4538,0.8684,2,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
15,15,36,Y(Y),6,N,Y,0.45,0.6315,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
16,16,36,Y(Y),6,N,Y,0.4423,0.6315,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
17,17,36,Y(Y),6,N,Y,0.4076,1,2,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
18,18,36,Y(Y),6,N,Y,0.4,0.1842,3,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
19,19,36,Y(Y),6,N,Y,0.3961,0.9736,2,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
20,20,36,Y(Y),6,N,Y,0.3692,1,2,Y,N,CAS2103-02,DATA STRUCTURE,2026,1
