no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
1,0,12,Y(Y),6,N,Y,0.2692,1,2,Y,Y,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
2,1,36,Y(N),6,N,Y,0.7555,0.6315,4,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
3,2,36,Y(N),6,N,Y,0.5148,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
4,3,36,N(N),6,N,Y,0.3571,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
5,4,36,N(N),4,N,Y,0.5285,0.7105,3,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
6,5,35,N(N),6,N,Y,0.2814,0.7368,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
7,6,33,Y(N),6,N,Y,0.9214,0.9473,4,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
8,7,30,N(N),6,N,Y,0.5952,1,3,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
9,8,30,N(N),6,N,N,0.4807,0.8333,3,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
10,9,29,N(N),6,N,Y,0.3259,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
11,10,22,N(N),6,N,Y,0.3214,0.8157,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
12,11,20,Y(N),6,N,Y,0.7185,0.6578,4,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
13,12,20,N(N),6,N,Y,0.774,1,4,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
14,13,20,N(N),6,N,Y,0.5238,1,2,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
15,14,20,N(N),6,N,Y,0.4,0.7105,2,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
16,15,20,N(N),6,N,Y,0.3333,1,2,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
17,16,18,Y(N),6,N,Y,0.6984,1,3,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
18,17,17,Y(N),6,N,Y,0.4407,0.6578,3,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
19,18,16,Y(Y),6,N,Y,0.3076,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
20,19,16,Y(Y),6,N,Y,0.2653,0.7631,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
21,20,15,Y(Y),6,N,Y,0.2615,0.8421,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
22,21,15,Y(Y),6,N,Y,0.2461,0.6315,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
23,22,15,N(N),6,N,Y,0.2619,0.7222,2,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
24,23,14,Y(Y),6,N,Y,0.2846,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
25,24,13,Y(N),6,N,Y,0.9037,0.9473,4,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
26,25,13,Y(Y),6,N,Y,0.4857,0.6578,3,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
27,26,13,Y(Y),6,N,N,1,0.7894,4,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
28,27,12,Y(N),6,N,Y,0.6642,0.9736,3,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
29,28,10,Y(N),6,N,Y,0.7851,1,4,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
30,29,10,N(N),6,N,Y,0.7785,0.9473,4,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
31,30,10,N(N),6,N,Y,0.238,1,2,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
32,31,9,N(N),6,N,Y,0.488,1,2,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
33,32,7,Y(Y),6,N,Y,0.3538,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
34,33,7,Y(Y),6,N,Y,0.3153,0.9473,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
35,34,7,Y(Y),6,N,Y,0.3076,1,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
36,35,6,Y(Y),6,Y,Y,0.8785,0.9473,4,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
37,36,6,Y(Y),6,N,Y,0.2846,0.8947,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
38,37,6,Y(Y),6,N,Y,0.2384,0.7368,2,Y,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
39,38,6,N(N),6,N,Y,0.8015,1,3,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
40,39,6,N(N),6,N,Y,0.6538,1,3,,N,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1,김지응,김지응,"수5,금5,6",60.0,48.0,11.43,67.0
