no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
1,0,12,N(N),6,N,N,0.8968,1,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
2,0,12,N(N),6,N,Y,0.9523,0.8333,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
3,0,12,Y(Y),6,N,Y,0.3,1,2,Y,Y,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
4,0,12,Y(Y),6,N,Y,0.2846,0.8947,2,Y,Y,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
5,1,36,Y(Y),6,Y,N,0.925,1,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
6,2,36,Y(N),6,N,Y,0.8253,0.6666,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
7,3,36,Y(N),6,N,Y,0.8253,0.5,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
8,4,36,Y(N),6,N,Y,0.8095,0.8611,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
9,5,36,Y(N),6,N,Y,0.7642,0.9473,4,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
10,6,36,Y(N),6,N,Y,0.6444,0.6315,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
11,7,36,Y(N),6,N,Y,0.6357,0.6315,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
12,8,36,Y(N),6,N,Y,0.623,1,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
13,9,36,Y(Y),6,N,Y,0.5785,1,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
14,10,36,Y(N),6,N,Y,0.5703,0.9736,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
15,11,36,Y(N),6,N,Y,0.5634,0.6944,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
16,12,36,Y(N),6,N,Y,0.5555,0.9736,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
17,13,36,Y(N),6,N,Y,0.5333,0.6578,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
18,14,36,Y(Y),6,N,Y,0.4346,0.8684,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
19,15,36,Y(N),6,N,Y,0.4074,0.7105,3,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
20,16,36,Y(Y),6,N,Y,0.3153,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
21,17,36,Y(Y),6,N,Y,0.3153,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
22,18,36,Y(Y),6,N,Y,0.3153,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
23,19,36,Y(Y),6,N,Y,0.3076,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
24,20,36,Y(Y),6,N,Y,0.3038,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
25,21,36,Y(Y),6,N,Y,0.2923,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
26,22,36,Y(Y),6,N,Y,0.2923,1,2,Y,N,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1,황성재,황성재,"화2,3,목4",90.0,63.0,25.81,185.0
