no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
1,0,12,Y(Y),6,N,N,0.8357,0.9473,4,Y,Y,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
2,1,36,Y(Y),6,N,Y,0.7785,0.6315,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
3,2,36,Y(Y),4,N,Y,0.4296,0.6578,3,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
4,3,36,Y(Y),2,Y,Y,0.9571,0.9473,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
5,4,36,N(N),6,N,Y,0.7307,1,3,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
6,5,36,N(N),6,N,N,1,1,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
7,6,36,N(N),4,N,Y,0.3214,1,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
8,7,36,N(N),2,Y,N,1,0.6666,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
9,8,35,N(N),6,N,Y,0.6,0.9736,3,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
10,9,35,N(N),3,Y,Y,0.9404,0.6944,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
11,10,31,N(N),6,Y,Y,0.9296,1,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
12,11,30,N(N),6,N,Y,0.3038,1,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
13,12,29,N(N),6,Y,Y,1,0.8421,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
14,13,29,N(N),6,N,Y,0.3153,1,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
15,14,28,Y(Y),6,N,Y,0.2692,0.8157,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
16,15,28,Y(Y),6,N,Y,0.2615,0.8684,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
17,16,27,Y(Y),6,N,Y,0.3307,1,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
18,17,27,Y(Y),4,N,Y,1,0.9473,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
19,18,26,Y(Y),6,N,Y,0.2846,0.8947,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
20,19,25,Y(Y),6,Y,Y,1,0.75,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
21,20,25,Y(Y),6,N,Y,0.3,1,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
22,21,24,Y(Y),6,N,Y,0.2653,0.7631,2,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
23,22,24,N(N),5,N,Y,0.8214,1,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
24,23,21,N(N),6,Y,Y,1,0.9473,4,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
25,24,20,Y(Y),6,N,Y,0.5923,0.8333,3,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
26,25,15,Y(Y),6,N,Y,0.5142,1,3,Y,N,CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),2025,1
