no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
1,0,12,Y(Y),6,N,Y,0.4884,0.8157,3,Y,Y,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
2,1,32,Y(Y),6,Y,N,1,0.6666,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
3,2,25,Y(Y),6,N,Y,0.8071,0.9473,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
4,3,20,Y(Y),5,N,Y,0.2769,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
5,4,18,Y(Y),6,Y,Y,0.95,0.9473,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
6,5,13,Y(Y),6,N,Y,0.25,0.6842,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
7,6,10,Y(Y),6,N,Y,0.7176,0.6111,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
8,7,10,Y(Y),5,Y,Y,0.9538,1,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
9,8,8,Y(Y),6,Y,Y,0.8571,0.9473,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
10,9,7,Y(Y),6,N,Y,0.3307,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
11,10,7,Y(Y),5,N,Y,0.8153,1,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
12,11,6,Y(Y),6,N,Y,0.5259,0.9736,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
13,12,6,Y(Y),6,N,Y,0.2307,0.8157,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
14,13,6,Y(Y),6,N,N,0.2928,0,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
15,14,5,Y(Y),6,N,Y,0.4153,0.9736,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
16,15,5,Y(Y),6,N,Y,0.2923,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
17,16,5,Y(Y),6,N,Y,0.2846,0.8947,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
18,17,5,Y(Y),6,N,Y,0.2615,0.8947,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
19,18,4,Y(Y),6,N,Y,1,0.8333,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
20,19,4,Y(Y),6,N,Y,0.5115,0.6578,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
21,20,4,Y(Y),6,N,Y,0.3653,0.7105,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
22,21,4,Y(Y),6,N,Y,0.2846,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
23,22,4,Y(Y),6,N,N,0.4384,0.8157,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
24,23,3,Y(Y),6,N,Y,0.5038,0.8684,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
25,24,3,Y(Y),6,N,Y,0.4523,0.8333,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
26,25,3,Y(Y),6,N,Y,0.45,0.8157,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
27,26,3,Y(Y),6,N,Y,0.3653,0.5,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
28,27,3,Y(Y),6,N,Y,0.3038,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
29,28,3,Y(Y),6,N,N,0.4923,0.9736,3,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
30,29,3,Y(Y),5,Y,Y,0.9321,1,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
31,30,2,Y(Y),6,N,Y,0.4461,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
32,31,2,Y(Y),6,N,Y,0.3153,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
33,32,2,Y(Y),6,N,Y,0.3076,1,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
34,33,2,Y(Y),6,N,Y,0.2923,0.9473,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
35,34,2,Y(Y),6,N,Y,0.2692,0.9473,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
36,35,2,Y(Y),6,N,Y,0.2615,0.7368,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
37,36,2,Y(Y),6,N,Y,0.1807,0.8421,2,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
38,37,2,Y(Y),6,N,N,0.8857,1,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
39,38,2,Y(Y),6,N,N,0.8214,0.9473,4,Y,N,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
