no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
1,1,35,Y(Y),4,N,Y,0.3821,0.3157,4,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
2,2,33,Y(Y),6,N,Y,0.4142,0.6315,3,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
3,3,32,Y(Y),6,Y,Y,0.9444,0.5,4,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
4,4,31,Y(Y),6,N,Y,0.7103,1,3,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
5,5,31,Y(Y),6,N,Y,0.375,0.8157,2,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
6,6,30,Y(Y),6,Y,N,0.9571,0.9473,4,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
7,7,30,Y(Y),6,N,Y,1,1,4,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
8,8,30,Y(Y),6,N,Y,0.6642,0.7894,4,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
9,9,30,Y(Y),6,N,Y,0.4346,0.8157,2,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
10,10,30,Y(Y),6,N,Y,0.3346,0.5,2,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
11,11,30,Y(Y),4,N,Y,0.337,0.9736,3,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
12,12,30,Y(Y),3,N,Y,0.7857,0.8421,4,Y,N,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2,송도경,송도경,"화8,9,목9",90.0,90.0,18.7,86.0
