no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
1,1,36,Y(N),6,Y,Y,0.914,0.632,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
2,2,36,N(N),6,N,Y,0.317,0.944,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
3,3,35,Y(Y),2,Y,N,1,0.947,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
4,4,32,N(N),6,N,Y,0.5,0.888,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
5,5,32,N(N),6,N,Y,0.286,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
6,6,28,Y(Y),6,N,Y,0.204,0.447,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
7,7,24,N(N),6,N,Y,0.667,0.632,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
8,8,20,N(N),3,Y,Y,1,1,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
9,9,18,Y(Y),5,N,Y,0.257,0.868,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
10,10,17,Y(Y),6,N,Y,0.257,0.684,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
11,11,15,Y(Y),6,N,Y,0.536,0.816,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
12,12,14,N(N),6,N,Y,0.836,0.947,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
13,13,13,N(N),6,N,Y,0.302,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
14,14,12,Y(Y),6,N,Y,0.5,0.921,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
15,15,12,Y(Y),6,N,Y,0.407,0.184,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
16,16,10,Y(Y),6,N,Y,0.779,0.789,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
17,17,10,Y(Y),6,N,Y,0.682,0.789,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
18,18,10,Y(Y),6,N,Y,0.346,0.5,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
19,19,10,Y(Y),6,N,Y,0.279,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
20,20,10,Y(Y),6,N,Y,0.189,0.842,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
21,21,10,N(N),6,N,Y,0.426,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
22,22,9,Y(N),6,N,Y,0.952,0.667,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
23,23,9,Y(Y),6,N,Y,0.5,0.921,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
24,24,8,Y(Y),6,N,Y,0.757,0.895,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
25,25,8,Y(Y),6,N,Y,0.15,0.526,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
26,26,7,Y(Y),6,N,Y,0.286,0.895,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
27,27,6,Y(Y),6,N,Y,0.279,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
28,28,6,Y(Y),6,N,Y,0.271,0.974,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
29,29,6,Y(Y),6,N,Y,0.264,0.895,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
30,30,6,Y(Y),6,N,Y,0.254,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
31,31,6,Y(Y),6,N,Y,0.236,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
32,32,5,Y(Y),6,N,Y,0.325,0.974,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
33,33,5,Y(Y),6,N,Y,0.321,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
34,34,5,Y(Y),6,N,Y,0.279,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
35,35,5,Y(Y),6,N,Y,0.279,0.842,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
36,36,5,Y(Y),6,N,Y,0.264,0.895,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
37,37,5,Y(Y),6,N,Y,0.254,0.816,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
38,38,5,Y(Y),6,N,Y,0.225,0.842,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
39,39,5,N(N),6,N,Y,0.807,0.947,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
40,40,5,N(N),5,N,Y,0.881,0.833,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
41,41,4,Y(Y),6,N,Y,0.296,0.974,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
42,42,4,Y(Y),6,N,Y,0.279,0.868,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
43,43,3,Y(Y),6,N,Y,0.564,0.974,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
44,44,3,Y(Y),6,N,Y,0.461,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
45,45,3,Y(Y),6,N,Y,0.286,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
46,46,3,Y(Y),6,N,Y,0.279,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
47,47,3,N(N),6,N,Y,0.937,0.694,4,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
48,48,3,N(N),6,N,Y,0.671,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
49,49,3,N(N),6,N,Y,0.519,0.974,3,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
50,50,3,N(N),6,N,N,0.778,1,4,,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
51,51,2,Y(Y),6,N,Y,0.286,1,2,Y,N,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1,이경호,이경호,"월2,수2,3",90.0,75.0,8.29,69.0
