no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
1,0,12,Y(Y),6,N,Y,0.8357,0.9473,4,Y,Y,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
2,1,36,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
3,2,36,Y(N),6,N,Y,0.9037,0.9473,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
4,3,36,Y(N),6,N,Y,0.8821,0.6842,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
5,4,36,Y(N),6,N,Y,0.8461,1,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
6,5,36,Y(N),6,N,Y,0.8444,1,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
7,6,36,Y(N),6,N,Y,0.8296,1,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
8,7,36,Y(N),6,N,Y,0.637,1,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
9,8,36,Y(N),6,N,Y,0.619,1,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
10,9,36,Y(N),6,N,Y,0.5925,0.7631,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
11,10,36,Y(Y),6,N,Y,0.3857,0.6315,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
12,11,36,Y(N),5,N,Y,0.8869,1,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
13,12,36,Y(Y),5,N,Y,0.8428,0.9473,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
14,13,36,Y(N),3,Y,N,0.9722,0.3888,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
15,14,36,Y(Y),2,N,Y,0.5576,1,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
16,15,36,N(N),6,Y,Y,1,0.8421,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
17,16,36,N(N),6,Y,Y,0.9928,0.7894,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
18,17,36,N(N),6,Y,N,1,0.5555,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
19,18,36,N(N),6,N,Y,0.8464,0.9473,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
20,19,36,N(N),6,N,Y,0.2539,0.8611,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
21,20,35,Y(Y),6,N,Y,0.5307,1,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
22,21,31,Y(Y),6,N,Y,0.6,1,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
23,22,30,Y(Y),6,Y,Y,0.8428,0.6315,4,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
24,23,30,Y(Y),6,N,Y,0.5538,1,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
25,24,30,Y(Y),6,N,Y,0.5,0.8611,3,Y,N,CAS3101-02,운영체제 (OPERATING SYSTEM),2025,1
