no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
1,1,36,Y(N),6,Y,Y,1,1,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
2,2,36,Y(N),6,Y,N,1,1,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
3,3,36,Y(N),6,N,Y,0.8492,0.8611,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
4,4,36,Y(N),6,N,Y,0.7925,1,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
5,5,36,Y(N),6,N,Y,0.7615,0.8611,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
6,6,36,Y(N),6,N,Y,0.6814,0.9736,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
7,7,36,Y(N),6,N,Y,0.674,1,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
8,8,36,Y(N),6,N,Y,0.5777,1,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
9,9,36,Y(N),6,N,Y,0.5518,0.9473,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
10,10,36,Y(N),6,N,N,0.9841,0.8888,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
11,11,36,Y(N),6,N,N,0.6888,0.8421,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
12,12,36,N(N),6,Y,Y,1,1,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
13,13,36,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
14,14,36,N(N),6,Y,Y,0.9563,0.3333,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
15,15,36,N(N),6,Y,Y,0.9206,0.6666,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
16,16,36,N(N),6,N,Y,0.9678,0.9473,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
17,17,36,N(N),6,N,Y,0.9126,1,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
18,18,36,N(N),6,N,Y,0.8095,0.8333,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
19,19,36,N(N),6,N,Y,0.8037,0.921,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
20,20,36,N(N),6,N,Y,0.7185,0.8421,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
21,21,36,N(N),6,N,Y,0.7142,0.7894,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
22,22,36,N(N),6,N,Y,0.6269,0.8333,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
23,23,36,N(N),6,N,Y,0.5777,0.9736,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
24,24,36,N(N),6,N,Y,0.2888,1,2,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
25,25,36,N(N),4,Y,Y,1,1,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
26,26,36,N(N),3,N,Y,0.8357,0.9473,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
27,27,35,Y(N),6,Y,N,1,0.9473,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
28,28,35,Y(N),6,N,Y,0.9214,0.9473,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
29,29,35,Y(N),2,Y,Y,0.992,0.6666,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
30,30,35,N(N),6,Y,Y,1,0.9473,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
31,31,31,N(N),6,N,Y,0.4666,0.9473,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
32,32,27,Y(Y),5,N,Y,0.475,0.5263,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
33,33,26,Y(Y),6,N,Y,0.8178,0.9473,4,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
34,34,25,Y(Y),6,N,Y,0.5769,1,3,Y,N,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1,정진규,정진규,"월7,8,수8",160.0,128.0,15.16,162.0
