no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
1,1,36,Y(N),6,Y,Y,1,0.8333,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
2,2,36,Y(N),6,Y,Y,0.9246,0.8888,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
3,3,36,Y(N),6,N,Y,1,0.8333,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
4,4,36,Y(N),6,N,Y,0.8074,0.7894,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
5,5,36,Y(N),6,N,Y,0.6,1,3,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
6,6,36,Y(N),6,N,Y,0.5925,1,3,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
7,7,36,Y(Y),6,N,Y,0.35,0.7894,3,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
8,8,36,Y(N),5,Y,Y,0.9682,0.625,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
9,9,36,Y(N),5,N,Y,0.7555,0.9473,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
10,10,36,Y(Y),4,N,Y,0.7535,0.6315,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
11,11,36,Y(Y),4,N,Y,0.7321,0.7894,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
12,12,36,Y(N),3,Y,Y,0.9365,0.8333,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
13,13,36,Y(N),3,N,Y,0.837,0.9473,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
14,14,36,Y(N),3,N,Y,0.8148,0.9473,4,Y,N,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1,차호정,차호정,"월8,수7,8",150.0,130.0,13.77,190.0
