no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
1,0,12,Y(Y),6,N,Y,0.8357,0.9473,4,Y,Y,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
2,1,36,Y(N),6,Y,Y,0.7777,0.8333,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
3,2,36,Y(N),6,N,Y,0.9615,1,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
4,3,36,Y(N),6,N,Y,0.8148,0.8947,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
5,4,36,Y(N),6,N,Y,0.6814,0.8421,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
6,5,36,Y(N),6,N,Y,0.4407,0.6578,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
7,6,36,Y(N),4,N,Y,0.8571,1,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
8,7,36,Y(N),3,N,Y,0.4246,1,2,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
9,8,36,N(N),6,Y,Y,0.9851,0.4736,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
10,9,36,N(N),6,Y,Y,0.8642,0.7894,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
11,10,36,N(N),6,N,Y,0.865,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
12,11,36,N(N),6,N,Y,0.4807,0.8333,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
13,12,36,N(N),5,Y,Y,1,0.8947,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
14,13,35,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
15,14,33,Y(N),6,N,Y,0.8222,0.7894,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
16,15,32,N(N),6,N,Y,0.3,1,2,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
17,16,31,Y(N),6,N,Y,1,1,4,,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
18,17,31,Y(Y),6,N,Y,0.9357,0.8947,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
19,18,31,Y(N),6,N,Y,0.7555,0.9473,3,,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
20,19,30,Y(Y),6,N,Y,0.3857,0.6315,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
21,20,30,Y(N),6,N,N,0.8293,0.8333,4,,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
22,21,30,Y(Y),5,N,Y,0.6076,0.8611,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
23,22,28,Y(Y),5,N,Y,0.6464,0.9473,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
24,23,26,Y(Y),6,N,Y,0.5571,0.6578,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
25,24,25,Y(Y),6,N,Y,0.5769,0.9166,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
26,25,25,Y(Y),6,N,Y,0.5214,0.9736,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
27,26,24,Y(Y),6,N,Y,0.6923,0.8333,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
28,27,24,Y(Y),6,N,Y,0.4923,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
29,28,24,Y(Y),6,N,Y,0.3857,0.5263,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
30,29,23,Y(Y),6,N,Y,0.6153,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
31,30,21,Y(Y),6,N,Y,0.7428,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
32,31,21,Y(Y),6,N,Y,0.6769,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
33,32,21,Y(Y),6,N,Y,0.5785,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
34,33,21,Y(Y),6,N,N,0.9253,1,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
35,34,21,Y(Y),5,N,Y,0.7846,0.8333,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
36,35,20,Y(Y),6,N,Y,0.8142,0.9473,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
37,36,20,Y(Y),6,N,Y,0.7678,1,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
38,37,20,Y(Y),6,N,Y,0.7192,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
39,38,20,Y(Y),6,N,Y,0.6153,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
40,39,20,Y(Y),6,N,Y,0.5928,0.8157,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
41,40,20,Y(Y),6,N,Y,0.5642,0.8157,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
42,41,20,Y(Y),6,N,Y,0.5576,0.8611,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
43,42,20,Y(Y),6,N,Y,0.5571,0.9736,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
44,43,20,Y(Y),6,N,Y,0.5269,0.8333,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
45,44,20,Y(Y),6,N,Y,0.5214,0.9736,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
46,45,20,Y(Y),6,N,Y,0.4964,0.8157,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
47,46,20,Y(Y),6,N,Y,0.4923,0.9166,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
48,47,20,Y(Y),6,N,N,0.6807,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
49,48,20,Y(Y),5,N,Y,0.7928,0.9473,4,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
50,49,20,Y(Y),4,N,Y,0.523,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
51,50,19,Y(Y),6,N,Y,0.7,1,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
52,51,19,Y(Y),6,N,Y,0.5692,0.9166,3,Y,N,CAS3102-01,컴퓨터아키텍쳐 (ARCHITECTURE OF COMPUTERS),2025,1
