no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
1,1,36,Y(Y),1,Y,N,0.9357,0.4736,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
2,2,36,N(N),6,N,Y,1,0.5,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
3,3,20,Y(Y),6,N,N,0.7821,0.9473,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
4,4,20,N(N),6,N,Y,0.4666,0.9473,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
5,5,18,Y(N),6,N,Y,0.6507,0.6944,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
6,6,18,Y(Y),6,N,Y,0.45,0.6315,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
7,7,17,Y(Y),6,N,N,0.573,1,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
8,8,15,N(N),6,Y,N,1,0,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
9,9,14,Y(Y),6,N,Y,1,0.4736,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
10,10,14,N(N),6,N,Y,0.374,0.9473,2,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
11,11,14,N(N),5,Y,Y,1,0.9473,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
12,12,10,Y(N),6,N,Y,0.8095,1,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
13,13,10,Y(Y),6,N,Y,0.3653,0,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
14,14,7,Y(N),6,N,Y,0.5317,1,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
15,15,7,N(N),6,N,Y,0.5923,1,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
16,16,6,N(N),6,N,Y,0.5476,1,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
17,17,5,Y(Y),6,N,Y,0.5692,0.8157,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
18,18,5,Y(Y),6,N,Y,0.523,0.9736,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
19,19,5,Y(Y),6,N,Y,0.5038,0.6315,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
20,20,5,Y(N),6,N,Y,0.4523,0.8333,2,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
21,21,5,N(N),6,N,Y,0.5777,0.9736,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
22,22,4,Y(N),6,N,Y,0.8888,1,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
23,23,4,Y(N),6,N,Y,0.6769,1,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
24,24,3,N(N),6,N,Y,0.674,0.7894,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
25,25,2,Y(N),6,N,Y,0.9841,0.8888,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
26,26,2,Y(Y),5,N,Y,0.4538,1,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
27,27,1,Y(N),6,Y,N,1,1,4,,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
28,28,1,Y(N),6,N,Y,0.9365,1,4,,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
29,29,1,Y(N),6,N,Y,0.6746,0.5277,3,,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
30,30,1,Y(Y),6,N,Y,0.6,0.9736,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
31,31,1,Y(Y),6,N,Y,0.5769,0.8157,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
32,32,1,Y(Y),6,N,Y,0.5615,0.9736,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
33,33,1,Y(Y),6,N,Y,0.5461,0.9736,3,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
34,34,1,Y(Y),6,N,Y,0.31,0.6842,2,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
35,35,1,Y(Y),4,Y,Y,0.9285,0.6315,4,Y,N,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
