no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3102-02,Architecture of Computers,2025,1
1,0,12,Y(Y),6,N,Y,0.5384,0.8611,3,Y,Y,CAS3102-02,Architecture of Computers,2025,1
2,1,35,N(N),5,N,Y,0.7142,0.9791,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
3,2,32,N(N),6,N,Y,0.8357,0.9473,4,Y,N,CAS3102-02,Architecture of Computers,2025,1
4,3,25,Y(N),6,N,Y,0.7301,1,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
5,4,20,Y(N),6,Y,Y,1,0.625,4,Y,N,CAS3102-02,Architecture of Computers,2025,1
6,5,18,Y(Y),6,N,Y,0.5,0.75,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
7,6,17,Y(Y),6,Y,Y,0.6892,0.4736,4,Y,N,CAS3102-02,Architecture of Computers,2025,1
8,7,16,N(N),6,N,Y,0.6692,1,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
9,8,15,Y(Y),6,N,Y,0.5214,0.9473,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
10,9,15,N(N),6,Y,Y,0.8666,0.9473,4,Y,N,CAS3102-02,Architecture of Computers,2025,1
11,10,12,Y(Y),6,N,Y,0.2615,0.8684,2,Y,N,CAS3102-02,Architecture of Computers,2025,1
12,11,11,N(N),6,N,Y,0.6,0.9736,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
13,12,10,Y(Y),6,N,Y,0.8285,0.8421,4,Y,N,CAS3102-02,Architecture of Computers,2025,1
14,13,10,Y(Y),6,N,Y,0.7461,0.8333,4,Y,N,CAS3102-02,Architecture of Computers,2025,1
15,14,10,Y(N),6,N,Y,0.6746,1,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
16,15,10,Y(N),6,N,Y,0.6714,1,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
17,16,10,Y(Y),6,N,Y,0.5461,1,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
18,17,10,Y(Y),6,N,Y,0.3307,0.8947,2,Y,N,CAS3102-02,Architecture of Computers,2025,1
19,18,10,N(N),6,N,Y,0.6444,0.9736,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
20,19,9,Y(Y),6,N,Y,0.5076,1,3,Y,N,CAS3102-02,Architecture of Computers,2025,1
