no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
1,1,36,Y(N),6,Y,Y,0.9142,0.9473,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
2,2,36,Y(N),6,Y,N,1,0.9473,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
3,3,36,Y(N),6,N,Y,0.8222,0.75,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
4,4,36,Y(N),6,N,Y,0.5407,0.9736,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
5,5,36,Y(N),5,N,Y,0.8571,1,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
6,6,36,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
7,7,36,N(N),6,N,Y,0.74,0.7894,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
8,8,36,N(N),6,N,Y,0.5428,0.9736,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
9,9,36,N(N),6,N,N,0.8851,0.8421,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
10,10,36,N(N),5,N,Y,0.9185,0.4736,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
11,11,36,N(N),5,N,Y,0.8214,0.9473,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
12,12,36,N(N),5,N,Y,0.8074,0.7894,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
13,13,36,N(N),5,N,Y,0.7357,0.8333,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
14,14,36,N(N),3,Y,Y,1,0.6315,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
15,15,35,Y(N),6,Y,Y,0.9555,0.9473,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
16,16,35,Y(N),6,N,Y,0.6642,0.7894,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
17,17,35,Y(N),3,N,Y,0.8333,1,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
18,18,35,N(N),6,Y,Y,0.9925,1,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
19,19,35,N(N),6,N,Y,0.7195,1,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
20,20,32,Y(N),6,Y,Y,1,0.5,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
21,21,31,Y(N),6,N,Y,0.8285,0.9473,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
22,22,31,N(N),6,N,Y,0.7777,0.8333,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
23,23,31,N(N),6,N,Y,0.5833,1,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
24,24,30,Y(Y),6,N,Y,0.7071,0.6842,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
25,25,29,N(N),6,N,Y,0.7182,1,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
26,26,28,Y(N),6,N,Y,0.8428,0.7894,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
27,27,28,Y(N),6,N,N,1,1,4,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
28,28,28,N(N),6,N,Y,0.274,1,2,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
29,29,26,Y(N),6,N,Y,0.8809,0.8888,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
30,30,26,N(N),6,N,Y,0.5192,1,2,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
31,31,25,Y(Y),6,N,Y,0.5769,0.9166,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
32,32,25,Y(Y),6,N,Y,0.5071,0.9736,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
33,33,25,N(N),6,N,Y,0.5571,1,3,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
34,34,24,Y(N),6,Y,Y,1,0.8947,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
35,35,24,Y(N),6,N,Y,0.7851,0.8421,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
36,36,24,Y(Y),6,N,Y,0.55,1,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
37,37,24,N(N),6,N,Y,0.7629,0.9473,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
38,38,24,N(N),6,N,Y,0.4285,1,2,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
39,39,24,N(N),5,N,Y,0.6666,1,3,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
40,40,23,Y(N),6,N,Y,0.75,0.7894,3,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
41,41,23,Y(N),6,N,Y,0.6666,1,3,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
42,42,23,N(N),6,N,Y,0.8174,0.8333,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
43,43,22,Y(N),6,N,Y,0.8095,0.8611,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
44,44,21,Y(N),6,Y,Y,0.9571,0.8421,4,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
45,45,21,Y(N),6,N,Y,0.6428,1,3,,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
46,46,21,Y(Y),6,N,Y,0.5692,0.8611,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
47,47,21,Y(Y),6,N,Y,0.5615,1,3,Y,N,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1,김영석,김영석,"화8,9/목14",90.0,63.0,19.72,146.0
