no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
1,0,12,Y(Y),5,N,N,0.7714,0.6315,4,Y,Y,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
2,1,36,Y(Y),6,N,Y,0.75,0.9027,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
3,2,36,N(N),2,N,Y,0.8222,1,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
4,3,33,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
5,4,31,Y(N),5,Y,Y,1,0.8333,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
6,5,27,Y(Y),6,N,N,0.8071,0.8421,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
7,6,26,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
8,7,25,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
9,8,24,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
10,9,22,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
11,10,20,Y(N),6,N,Y,0.8296,1,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
12,11,20,Y(Y),5,N,Y,0.25,0.9027,2,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
13,12,18,Y(Y),6,N,Y,0.4964,0.9736,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
14,13,18,Y(Y),6,N,Y,0.4714,0.7894,3,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
15,14,15,N(N),6,N,Y,0.3333,1,2,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
16,15,12,Y(N),6,Y,Y,1,0.9473,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
17,16,12,Y(Y),6,N,Y,0.3423,0.6666,2,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
18,17,12,N(N),6,Y,Y,1,0.9473,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
19,18,11,Y(Y),6,N,Y,0.7214,0.6315,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
20,19,10,Y(Y),6,N,Y,0.5571,0.4736,4,Y,N,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1,한요섭,한요섭,"화8,9,목7",90.0,72.0,8.12,69.0
