no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
1,1,36,Y(Y),6,Y,Y,1,0.3157,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
2,2,22,Y(N),6,N,Y,1,0.7894,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
3,3,19,Y(N),6,Y,Y,1,0.8888,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
4,4,16,Y(Y),6,N,Y,0.8285,0.8684,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
5,5,15,Y(Y),6,Y,Y,0.875,0.7894,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
6,6,15,N(N),5,N,Y,0.474,0.3421,3,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
7,7,14,Y(Y),6,N,Y,0.6857,0.6315,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
8,8,14,Y(Y),6,N,Y,0.4642,0.6578,3,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
9,9,13,Y(Y),6,N,Y,0.85,0.9473,4,Y,N,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1,한요섭,한요섭,"화3,4,목3",90.0,63.0,6.33,89.0
