no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3116-01,Computer Vision,2025,2
1,0,12,Y(Y),6,N,Y,0.3461,0.7894,2,Y,Y,CAS3116-01,Computer Vision,2025,2
2,1,36,Y(N),6,Y,Y,1,0.8888,4,Y,N,CAS3116-01,Computer Vision,2025,2
3,2,36,Y(N),6,Y,Y,1,0.6315,4,Y,N,CAS3116-01,Computer Vision,2025,2
4,3,36,Y(N),6,Y,Y,0.9846,1,4,Y,N,CAS3116-01,Computer Vision,2025,2
5,4,36,Y(N),6,Y,Y,0.9703,0.6315,4,Y,N,CAS3116-01,Computer Vision,2025,2
6,5,36,Y(N),6,Y,Y,0.9523,0.6666,4,Y,N,CAS3116-01,Computer Vision,2025,2
7,6,36,Y(Y),6,Y,Y,0.8928,1,4,Y,N,CAS3116-01,Computer Vision,2025,2
8,7,36,Y(N),6,Y,Y,0.837,0.9473,4,Y,N,CAS3116-01,Computer Vision,2025,2
9,8,36,Y(N),6,Y,Y,0.7571,0.6842,4,Y,N,CAS3116-01,Computer Vision,2025,2
10,9,36,Y(Y),6,Y,Y,0.6892,0.4736,4,Y,N,CAS3116-01,Computer Vision,2025,2
11,10,36,Y(Y),6,Y,N,1,0.9473,4,Y,N,CAS3116-01,Computer Vision,2025,2
12,11,36,Y(N),6,N,Y,1,1,4,Y,N,CAS3116-01,Computer Vision,2025,2
13,12,36,Y(N),6,N,Y,0.9642,0.9473,4,Y,N,CAS3116-01,Computer Vision,2025,2
14,13,36,Y(N),6,N,Y,0.873,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
15,14,36,Y(Y),6,N,Y,0.8714,0.9473,4,Y,N,CAS3116-01,Computer Vision,2025,2
16,15,36,Y(N),6,N,Y,0.8518,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
17,16,36,Y(N),6,N,Y,0.8174,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
18,17,36,Y(Y),6,N,Y,0.8076,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
19,18,36,Y(Y),6,N,Y,0.7769,1,4,Y,N,CAS3116-01,Computer Vision,2025,2
20,19,36,Y(Y),6,N,Y,0.7615,1,4,Y,N,CAS3116-01,Computer Vision,2025,2
21,20,36,Y(Y),6,N,Y,0.7461,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
22,21,36,Y(Y),6,N,Y,0.7071,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
23,22,36,Y(Y),6,N,Y,0.6923,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
24,23,36,Y(Y),6,N,Y,0.6923,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
25,24,36,Y(N),6,N,Y,0.6923,0.8333,3,Y,N,CAS3116-01,Computer Vision,2025,2
26,25,36,Y(Y),6,N,Y,0.6923,0.8333,3,Y,N,CAS3116-01,Computer Vision,2025,2
27,26,36,Y(Y),6,N,Y,0.6785,0.9473,4,Y,N,CAS3116-01,Computer Vision,2025,2
28,27,36,Y(Y),6,N,Y,0.6769,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
29,28,36,Y(Y),6,N,Y,0.6714,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
30,29,36,Y(Y),6,N,Y,0.6692,0.8333,3,Y,N,CAS3116-01,Computer Vision,2025,2
31,30,36,Y(Y),6,N,Y,0.6615,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
32,31,36,Y(N),6,N,Y,0.6571,0.9473,3,Y,N,CAS3116-01,Computer Vision,2025,2
33,32,36,Y(Y),6,N,Y,0.65,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
34,33,36,Y(Y),6,N,Y,0.6461,1,3,Y,N,CAS3116-01,Computer Vision,2025,2
35,34,36,Y(Y),6,N,Y,0.6461,0.9736,3,Y,N,CAS3116-01,Computer Vision,2025,2
