no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
1,1,36,Y(N),6,Y,Y,1,0.6315,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
2,2,36,Y(N),6,N,Y,0.8666,0.7894,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
3,3,36,Y(Y),6,N,Y,0.8357,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
4,4,36,Y(N),6,N,Y,0.8293,0.8888,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
5,5,36,Y(Y),6,N,Y,0.75,0.9736,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
6,6,36,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
7,7,36,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
8,8,36,Y(Y),4,N,Y,0.25,0.9027,2,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
9,9,36,N(N),6,N,Y,0.6538,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
10,10,36,N(N),6,N,Y,0.5487,1,2,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
11,11,30,N(N),6,N,Y,0.7539,0.8333,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
12,12,26,Y(Y),3,Y,Y,1,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
13,13,25,N(N),6,N,Y,0.7535,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
14,14,24,Y(Y),6,N,Y,0.5923,0.6666,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
15,15,21,Y(Y),6,N,Y,0.4653,1,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
16,16,21,Y(Y),4,N,Y,0.5923,0.6666,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
17,17,21,N(N),6,N,Y,0.9126,0.8333,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
18,18,20,Y(Y),6,N,Y,1,0.4736,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
19,19,20,Y(Y),6,N,Y,0.5785,0.7894,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
20,20,20,N(N),6,N,Y,0.8285,0.7894,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
21,21,18,Y(Y),5,N,Y,0.5,0.9027,3,,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
22,22,18,Y(Y),5,N,Y,0.5,0.9027,3,,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
23,23,17,Y(N),6,Y,Y,1,1,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
24,24,17,Y(Y),5,N,Y,0.6153,0.8333,3,,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
25,25,16,N(N),6,N,Y,0.7928,0.7894,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
26,26,15,Y(Y),6,N,Y,0.523,0.9736,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
27,27,15,Y(N),5,N,Y,0.8571,1,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
28,28,15,Y(N),4,N,N,1,0.4736,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
29,29,14,Y(N),6,N,Y,0.8095,1,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
30,30,13,Y(Y),6,N,Y,0.7846,1,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
31,31,13,Y(N),6,N,Y,0.6888,0.8421,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
32,32,12,Y(Y),6,N,Y,0.5923,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
33,33,12,Y(Y),6,N,Y,0.5076,0.7894,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
34,34,12,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
35,35,12,Y(N),5,Y,Y,1,0.5277,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
36,36,12,N(N),6,N,Y,0.6825,1,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
37,37,10,Y(N),6,Y,Y,1,0.6666,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
38,38,10,Y(Y),6,N,Y,0.8071,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
39,39,10,Y(Y),6,N,Y,0.6,0.9736,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
40,40,10,Y(Y),6,N,Y,0.5769,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
41,41,10,Y(Y),6,N,Y,0.5714,0.4736,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
42,42,10,Y(Y),5,N,Y,0.5,0.9027,3,,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
43,43,10,N(N),6,Y,Y,1,1,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
44,44,9,Y(Y),6,N,Y,0.6615,0.9736,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
45,45,8,Y(Y),6,N,Y,0.7642,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
46,46,8,Y(Y),6,N,Y,0.5,0.9027,3,,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
47,47,7,Y(Y),6,N,Y,0.5423,0.9473,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
48,48,6,Y(Y),6,N,Y,0.5692,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
49,49,6,Y(Y),6,N,Y,0.5461,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
50,50,5,Y(Y),6,N,Y,0.8071,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
51,51,5,Y(Y),6,N,Y,0.5923,0.8684,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
52,52,5,Y(Y),6,N,Y,0.5692,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
53,53,5,Y(Y),6,N,Y,0.5346,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
54,54,5,Y(Y),5,Y,Y,0.923,0.8333,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
55,55,4,Y(Y),6,N,Y,0.5923,0.6842,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
56,56,4,Y(Y),6,N,Y,0.5615,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
57,57,3,Y(Y),6,N,Y,0.5428,0.9736,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
58,58,3,Y(Y),6,N,Y,0.5307,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
59,59,3,Y(Y),6,N,Y,0.5038,0.6315,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
60,60,3,Y(Y),5,N,Y,0.6615,0.9736,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
61,61,2,Y(Y),6,Y,Y,0.9384,1,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
62,62,2,Y(Y),6,N,Y,0.85,0.9473,4,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
63,63,2,Y(Y),6,N,Y,0.6538,0.8157,3,Y,N,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1,김선주,김선주,"화8,9,목7",95.0,76.0,12.56,80.0
