no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
1,1,36,Y(N),6,Y,Y,1,0.333,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
2,2,36,Y(N),6,Y,Y,0.992,1,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
3,3,36,Y(N),6,Y,Y,0.978,0.632,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
4,4,36,Y(N),6,Y,Y,0.914,0.632,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
5,5,36,Y(N),6,Y,Y,0.913,0.667,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
6,6,36,Y(N),6,Y,Y,0.907,0.789,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
7,7,36,Y(N),6,N,Y,1,1,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
8,8,36,Y(N),6,N,Y,0.979,0.947,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
9,9,36,Y(N),6,N,Y,0.929,1,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
10,10,36,Y(Y),6,N,Y,0.5,0.972,3,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
11,11,36,Y(N),4,Y,Y,1,0.667,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
12,12,36,Y(Y),4,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
13,13,36,Y(Y),4,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
14,14,36,Y(N),3,Y,Y,1,0.5,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
15,15,36,Y(Y),3,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
16,16,36,Y(Y),3,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
17,17,36,Y(Y),3,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
18,18,36,Y(Y),3,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
19,19,36,Y(Y),2,N,Y,0.75,0.972,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
20,20,36,Y(Y),1,N,Y,0.85,0,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
21,21,36,N(N),6,Y,Y,1,0.947,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
22,22,36,N(N),6,Y,Y,0.996,0.667,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
23,23,36,N(N),6,Y,Y,0.964,0.789,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
24,24,36,N(N),6,Y,Y,0.914,0.789,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
25,25,36,N(N),6,Y,Y,0.904,1,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
26,26,36,N(N),6,N,Y,0.984,0.5,4,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
27,27,36,N(N),6,N,Y,0.657,0.789,3,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
28,28,36,N(N),6,N,Y,0.279,0.842,2,Y,N,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2,황성재,황성재,"수4,금3,4",95.0,76.0,22.22,123.0
