no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3120-01,Machine Learning,2025,1
1,0,12,Y(Y),6,N,Y,0.8357,0.9473,4,Y,Y,CAS3120-01,Machine Learning,2025,1
2,0,12,Y(Y),6,N,Y,0.5384,0.8611,3,Y,Y,CAS3120-01,Machine Learning,2025,1
3,0,12,Y(Y),6,N,Y,0.5307,1,3,Y,Y,CAS3120-01,Machine Learning,2025,1
4,1,36,N(N),6,Y,Y,0.9142,0.6842,4,Y,N,CAS3120-01,Machine Learning,2025,1
5,2,36,N(N),6,N,Y,0.6444,0.9736,3,Y,N,CAS3120-01,Machine Learning,2025,1
6,3,35,N(N),6,N,Y,1,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
7,4,35,N(N),6,N,Y,0.9925,0.8157,4,Y,N,CAS3120-01,Machine Learning,2025,1
8,5,33,Y(N),6,N,Y,0.6962,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
9,6,31,Y(Y),6,N,Y,0.9464,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
10,7,26,Y(Y),6,N,Y,0.6428,0.9736,3,Y,N,CAS3120-01,Machine Learning,2025,1
11,8,24,Y(Y),6,N,Y,0.5076,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
12,9,24,N(N),6,N,Y,0.774,1,4,Y,N,CAS3120-01,Machine Learning,2025,1
13,10,23,Y(N),6,Y,Y,0.873,0.375,4,Y,N,CAS3120-01,Machine Learning,2025,1
14,11,23,Y(Y),6,N,Y,0.6153,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
15,12,22,Y(Y),6,Y,Y,0.8892,0.6315,4,Y,N,CAS3120-01,Machine Learning,2025,1
16,13,22,Y(N),6,N,Y,0.5952,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
17,14,21,Y(N),6,N,Y,0.9037,0.7894,4,Y,N,CAS3120-01,Machine Learning,2025,1
18,15,21,Y(N),6,N,Y,0.5925,0.7631,3,Y,N,CAS3120-01,Machine Learning,2025,1
19,16,20,Y(Y),6,N,Y,0.8285,1,4,Y,N,CAS3120-01,Machine Learning,2025,1
20,17,20,Y(Y),6,N,Y,0.7535,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
21,18,20,Y(Y),6,N,Y,0.3384,0.6315,2,Y,N,CAS3120-01,Machine Learning,2025,1
22,19,20,Y(Y),4,Y,Y,1,0.4736,4,Y,N,CAS3120-01,Machine Learning,2025,1
23,20,20,Y(Y),4,Y,Y,0.9785,0.7894,4,Y,N,CAS3120-01,Machine Learning,2025,1
24,21,20,N(N),6,Y,Y,1,0.8333,4,Y,N,CAS3120-01,Machine Learning,2025,1
25,22,19,Y(N),6,N,Y,0.8222,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
26,23,19,Y(Y),6,N,Y,0.5571,0.4736,4,Y,N,CAS3120-01,Machine Learning,2025,1
27,24,18,Y(Y),6,N,Y,0.8,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
28,25,18,Y(Y),6,N,Y,0.5,0.75,3,Y,N,CAS3120-01,Machine Learning,2025,1
29,26,17,Y(Y),6,N,Y,0.5076,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
30,27,16,Y(Y),6,N,Y,0.7392,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
31,28,16,Y(Y),6,N,Y,0.6785,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
32,29,16,Y(Y),6,N,Y,0.5692,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
33,30,16,Y(Y),6,N,Y,0.5142,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
34,31,16,Y(Y),6,N,Y,0.5076,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
35,32,16,Y(Y),5,N,Y,0.8071,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
36,33,16,N(N),6,Y,Y,0.8968,1,4,Y,N,CAS3120-01,Machine Learning,2025,1
37,34,15,Y(Y),6,Y,Y,0.8392,0.7894,4,Y,N,CAS3120-01,Machine Learning,2025,1
38,35,15,Y(Y),6,N,Y,0.7615,1,4,Y,N,CAS3120-01,Machine Learning,2025,1
39,36,15,Y(Y),6,N,Y,0.6384,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
40,37,15,Y(Y),6,N,Y,0.6384,0.8333,3,Y,N,CAS3120-01,Machine Learning,2025,1
41,38,15,Y(Y),4,N,Y,0.8,0.7894,4,Y,N,CAS3120-01,Machine Learning,2025,1
42,39,15,N(N),6,N,Y,0.6692,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
43,40,14,Y(Y),6,N,Y,0.7192,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
44,41,14,Y(Y),6,N,Y,0.5571,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
45,42,14,Y(Y),6,N,Y,0.4214,0.4736,3,Y,N,CAS3120-01,Machine Learning,2025,1
46,43,13,Y(Y),6,N,Y,0.5,0.8333,3,Y,N,CAS3120-01,Machine Learning,2025,1
47,44,13,Y(Y),6,N,Y,0.5,0.8157,3,Y,N,CAS3120-01,Machine Learning,2025,1
48,45,12,Y(Y),6,N,Y,0.6461,0.8333,3,Y,N,CAS3120-01,Machine Learning,2025,1
49,46,12,Y(Y),6,N,Y,0.6,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
50,47,12,Y(Y),6,N,Y,0.5538,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
51,48,12,Y(Y),6,N,Y,0.4964,0.9736,3,Y,N,CAS3120-01,Machine Learning,2025,1
52,49,12,Y(Y),6,N,Y,0.3307,0.7894,2,Y,N,CAS3120-01,Machine Learning,2025,1
53,50,12,Y(Y),5,N,Y,0.5769,0.8611,3,Y,N,CAS3120-01,Machine Learning,2025,1
54,51,11,Y(Y),6,N,Y,0.55,0.9736,3,Y,N,CAS3120-01,Machine Learning,2025,1
55,52,10,Y(N),6,N,Y,0.8444,1,4,,N,CAS3120-01,Machine Learning,2025,1
56,53,10,Y(Y),6,N,Y,0.8192,1,4,Y,N,CAS3120-01,Machine Learning,2025,1
57,54,10,Y(Y),6,N,Y,0.8023,0.8333,4,Y,N,CAS3120-01,Machine Learning,2025,1
58,55,10,Y(N),6,N,Y,0.7851,1,4,,N,CAS3120-01,Machine Learning,2025,1
59,56,10,Y(N),6,N,Y,0.637,1,3,,N,CAS3120-01,Machine Learning,2025,1
60,57,10,Y(Y),6,N,Y,0.5923,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
61,58,10,Y(Y),6,N,Y,0.5642,0.8157,3,Y,N,CAS3120-01,Machine Learning,2025,1
62,59,10,Y(Y),6,N,Y,0.5615,0.8611,3,Y,N,CAS3120-01,Machine Learning,2025,1
63,60,10,Y(Y),6,N,Y,0.5615,0.6666,3,Y,N,CAS3120-01,Machine Learning,2025,1
64,61,10,Y(Y),6,N,Y,0.5269,0.8333,3,Y,N,CAS3120-01,Machine Learning,2025,1
65,62,10,Y(Y),6,N,Y,0.5214,0.9736,3,Y,N,CAS3120-01,Machine Learning,2025,1
66,63,9,Y(Y),6,N,Y,0.7785,0.8421,4,Y,N,CAS3120-01,Machine Learning,2025,1
67,64,9,Y(Y),6,N,Y,0.7714,1,4,Y,N,CAS3120-01,Machine Learning,2025,1
68,65,9,Y(Y),6,N,Y,0.7428,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
69,66,9,Y(Y),6,N,Y,0.7214,0.6315,4,Y,N,CAS3120-01,Machine Learning,2025,1
70,67,9,Y(Y),6,N,Y,0.6615,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
71,68,9,Y(Y),6,N,Y,0.6214,0.7894,3,Y,N,CAS3120-01,Machine Learning,2025,1
72,69,9,Y(Y),6,N,Y,0.6076,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
73,70,8,Y(Y),6,N,Y,0.7,0.7894,3,Y,N,CAS3120-01,Machine Learning,2025,1
74,71,8,Y(Y),6,N,Y,0.5538,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
75,72,8,N(N),6,Y,Y,0.9851,0.6315,4,,N,CAS3120-01,Machine Learning,2025,1
76,73,7,Y(N),6,Y,Y,1,1,4,,N,CAS3120-01,Machine Learning,2025,1
77,74,7,Y(Y),6,N,Y,0.5714,0.8157,4,Y,N,CAS3120-01,Machine Learning,2025,1
78,75,6,Y(Y),6,N,Y,0.5038,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
79,76,6,Y(Y),6,N,Y,0.4538,0.8611,3,Y,N,CAS3120-01,Machine Learning,2025,1
80,77,6,N(N),6,Y,Y,1,1,4,,N,CAS3120-01,Machine Learning,2025,1
81,78,5,Y(Y),6,N,Y,0.8857,0.9473,4,Y,N,CAS3120-01,Machine Learning,2025,1
82,79,5,Y(Y),6,N,Y,0.8357,0.75,4,Y,N,CAS3120-01,Machine Learning,2025,1
83,80,5,Y(Y),6,N,Y,0.7357,0.7894,4,Y,N,CAS3120-01,Machine Learning,2025,1
84,81,5,Y(Y),6,N,Y,0.6769,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
85,82,5,Y(N),6,N,Y,0.6714,1,3,,N,CAS3120-01,Machine Learning,2025,1
86,83,5,Y(Y),6,N,Y,0.6,1,3,Y,N,CAS3120-01,Machine Learning,2025,1
87,84,5,Y(Y),6,N,Y,0.4461,1,2,Y,N,CAS3120-01,Machine Learning,2025,1
88,85,5,Y(Y),5,N,Y,0.5692,0.8611,3,,N,CAS3120-01,Machine Learning,2025,1
89,86,4,Y(Y),6,N,Y,0.6769,1,3,,N,CAS3120-01,Machine Learning,2025,1
90,87,3,Y(Y),6,Y,Y,0.8785,0.7894,4,,N,CAS3120-01,Machine Learning,2025,1
91,88,3,Y(Y),6,N,Y,0.7142,0.9473,4,,N,CAS3120-01,Machine Learning,2025,1
92,89,3,Y(Y),6,N,Y,0.523,0.8611,3,,N,CAS3120-01,Machine Learning,2025,1
93,90,2,Y(Y),6,N,Y,0.8142,0.9473,4,,N,CAS3120-01,Machine Learning,2025,1
94,91,2,Y(Y),6,N,Y,0.7607,0.8421,4,,N,CAS3120-01,Machine Learning,2025,1
95,92,2,Y(Y),6,N,Y,0.6285,0.9473,3,,N,CAS3120-01,Machine Learning,2025,1
96,93,2,N(N),6,Y,Y,1,0.9473,4,,N,CAS3120-01,Machine Learning,2025,1
97,94,2,N(N),6,N,Y,0.5269,0.6666,3,,N,CAS3120-01,Machine Learning,2025,1
98,95,1,Y(N),6,Y,Y,1,0.5,4,,N,CAS3120-01,Machine Learning,2025,1
99,96,1,Y(N),6,N,Y,0.9037,0.9473,4,,N,CAS3120-01,Machine Learning,2025,1
100,97,1,Y(Y),6,N,Y,0.5928,1,3,,N,CAS3120-01,Machine Learning,2025,1
101,98,1,Y(Y),6,N,Y,0.4461,0.6944,3,,N,CAS3120-01,Machine Learning,2025,1
102,99,1,Y(N),4,N,Y,0.8571,1,4,,N,CAS3120-01,Machine Learning,2025,1
103,100,1,N(N),6,Y,Y,1,0.5263,4,,N,CAS3120-01,Machine Learning,2025,1
104,101,1,N(N),6,Y,Y,0.9296,1,4,,N,CAS3120-01,Machine Learning,2025,1
