no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
1,0,12,Y(Y),6,N,Y,0.4884,0.8157,3,Y,Y,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
2,1,36,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
3,2,36,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
4,3,36,N(N),6,N,Y,0.7214,0.7894,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
5,4,35,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
6,5,31,Y(Y),6,N,Y,0.9071,0.7894,4,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
7,6,25,Y(Y),6,N,Y,0.5423,0.9473,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
8,7,25,N(N),6,N,Y,0.8571,0.9791,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
9,8,24,Y(Y),6,N,Y,0.5923,0.6666,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
10,9,21,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
11,10,20,N(N),6,N,Y,0.0753,0.1842,2,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
12,11,17,N(N),6,N,Y,1,1,4,Y,N,CAS3120-01,CAS3120-01,MACHINE LEARNING,2026,1,이동하,이동하,"수9,금9,10",75.0,60.0,10.77,86.0
