no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
1,1,36,Y(N),5,N,Y,0.5851,0.9736,3,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
2,2,36,N(N),6,Y,Y,0.9857,0.6666,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
3,3,36,N(N),6,N,Y,0.8095,0.625,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
4,4,36,N(N),6,N,Y,0.573,0.8333,3,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
5,5,36,N(N),6,N,Y,0.4148,1,2,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
6,6,35,Y(Y),3,Y,Y,1,0.9473,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
7,7,34,Y(Y),6,N,Y,0.6928,0.6842,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
8,8,30,Y(N),6,Y,Y,0.9404,1,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
9,9,27,Y(Y),6,N,Y,0.5538,1,3,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
10,10,25,Y(Y),6,Y,Y,0.9357,0.9473,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
11,11,25,N(N),6,Y,Y,1,0.8947,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
12,12,23,Y(N),6,N,Y,0.9444,1,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
13,13,21,Y(Y),6,N,Y,0.7428,0.9473,4,Y,N,CAS3120-02,AAI3120-01,MACHINE LEARNING,2024,1,이동하,이동하,"화8/목7,8",80.0,64.0,13.5,72.0
