no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
1,1,36,N(N),6,N,Y,0.5,0.656,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
2,2,36,N(N),6,N,Y,0.375,1,2,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
3,3,35,N(N),5,Y,Y,0.993,0.316,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
4,4,26,N(N),6,N,Y,0.574,1,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
5,5,25,Y(N),5,Y,Y,0.896,0.632,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
6,6,24,Y(N),6,N,Y,0.85,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
7,7,24,Y(Y),6,N,Y,0.807,1,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
8,8,21,Y(N),6,N,Y,0.889,1,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
9,9,20,Y(N),6,N,Y,0.706,0.833,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
10,10,20,N(N),6,N,Y,0.901,0.889,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
11,11,20,N(N),4,N,Y,0.762,1,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
12,12,18,Y(Y),6,Y,Y,0.893,1,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
13,13,18,N(N),6,N,Y,0.593,0.974,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
14,14,17,N(N),6,N,Y,0.575,1,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
15,15,16,Y(Y),6,N,Y,0.886,0.526,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
16,16,16,Y(Y),6,N,Y,0.714,0.789,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
17,17,16,N(N),6,N,Y,0.908,0.479,2,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
18,18,15,Y(Y),5,N,Y,0.75,0.158,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
19,19,14,Y(Y),6,N,Y,0.5,0.921,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
20,20,14,Y(Y),5,N,Y,0.793,0.789,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
21,21,13,Y(Y),6,Y,Y,0.836,0.789,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
22,22,13,Y(Y),5,N,Y,0.796,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
23,23,12,Y(Y),6,N,Y,0.836,0.895,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
24,24,11,Y(Y),6,N,Y,0.879,0.842,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
25,25,11,Y(N),5,N,Y,0.985,0.833,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
26,26,11,Y(Y),5,N,Y,0.786,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
27,27,10,Y(Y),6,N,Y,0.764,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
28,28,10,Y(Y),6,N,Y,0.739,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
29,29,10,Y(Y),5,N,Y,0.743,0.974,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
30,30,9,Y(Y),6,N,Y,0.757,0.895,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
31,31,8,Y(Y),6,N,Y,0.739,0.816,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
32,32,7,Y(Y),6,Y,Y,0.771,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
33,33,7,Y(Y),5,Y,Y,0.893,1,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
34,34,7,Y(Y),5,N,Y,0.829,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
35,35,6,Y(Y),6,N,Y,0.779,0.789,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
36,36,6,Y(Y),6,N,Y,0.621,0.974,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
37,37,6,Y(Y),6,N,Y,0.389,0.974,2,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
38,38,5,Y(Y),6,Y,Y,0.879,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
39,39,5,Y(Y),6,N,Y,0.707,0.789,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
40,40,5,N(N),6,Y,Y,0.893,0.974,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
41,41,5,N(N),6,N,Y,0.833,1,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
42,42,4,Y(N),6,N,Y,0.643,1,3,,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
43,43,3,Y(Y),6,Y,Y,0.886,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
44,44,3,Y(Y),6,N,Y,0.836,0.947,4,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
45,45,2,Y(Y),6,N,Y,0.707,0.974,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
46,46,2,Y(Y),6,N,Y,0.664,1,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
47,47,2,Y(Y),6,N,Y,0.664,0.947,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
48,48,2,Y(Y),6,N,Y,0.593,1,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
49,49,2,Y(Y),6,N,Y,0.593,0.974,3,Y,N,CAS3120-02,CSI4120-01,MACHINE LEARNING,2022,1,박노성,박노성,"화5,목4,5",90.0,72.0,7.76,89.0
