no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS3205-01,Computer Graphics,2025,2
1,0,12,Y(Y),6,N,Y,0.4192,1,2,Y,Y,CAS3205-01,Computer Graphics,2025,2
2,1,36,Y(Y),3,Y,Y,0.9642,0.7894,4,Y,N,CAS3205-01,Computer Graphics,2025,2
3,2,36,N(N),6,N,Y,0.873,0.7083,3,Y,N,CAS3205-01,Computer Graphics,2025,2
4,3,36,N(N),6,N,Y,0.865,0.9375,3,Y,N,CAS3205-01,Computer Graphics,2025,2
5,4,36,N(N),6,N,Y,0.6814,0.9473,3,Y,N,CAS3205-01,Computer Graphics,2025,2
6,5,36,N(N),6,N,Y,0.5317,0.8958,2,Y,N,CAS3205-01,Computer Graphics,2025,2
7,6,36,N(N),6,N,Y,0.4206,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
8,7,32,N(N),6,N,Y,0.3777,0.9736,2,Y,N,CAS3205-01,Computer Graphics,2025,2
9,8,26,N(N),6,Y,Y,1,0.9473,4,Y,N,CAS3205-01,Computer Graphics,2025,2
10,9,25,Y(Y),3,Y,Y,1,0.9473,4,Y,N,CAS3205-01,Computer Graphics,2025,2
11,10,20,Y(N),6,N,Y,0.9761,0.6666,4,Y,N,CAS3205-01,Computer Graphics,2025,2
12,11,18,Y(N),6,N,Y,0.6814,1,3,Y,N,CAS3205-01,Computer Graphics,2025,2
13,12,18,Y(N),6,N,Y,0.3849,0.8611,2,Y,N,CAS3205-01,Computer Graphics,2025,2
14,13,17,Y(Y),6,Y,Y,0.4035,0.1578,4,Y,N,CAS3205-01,Computer Graphics,2025,2
15,14,17,Y(N),6,N,Y,0.865,1,3,Y,N,CAS3205-01,Computer Graphics,2025,2
16,15,17,Y(Y),6,N,Y,0.7071,1,4,Y,N,CAS3205-01,Computer Graphics,2025,2
17,16,16,Y(N),6,Y,Y,0.9206,0.6666,4,Y,N,CAS3205-01,Computer Graphics,2025,2
18,17,16,Y(Y),6,N,Y,0.4538,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
19,18,15,Y(Y),6,N,Y,0.6714,0.9473,3,Y,N,CAS3205-01,Computer Graphics,2025,2
20,19,14,Y(Y),6,N,Y,0.4653,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
21,20,13,N(N),6,Y,Y,1,0.8333,4,Y,N,CAS3205-01,Computer Graphics,2025,2
22,21,12,Y(Y),6,Y,N,0.9571,0.9473,4,Y,N,CAS3205-01,Computer Graphics,2025,2
23,22,12,Y(Y),6,N,Y,0.4269,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
24,23,12,Y(Y),5,Y,Y,0.9692,1,4,Y,N,CAS3205-01,Computer Graphics,2025,2
25,24,9,N(N),6,N,Y,0.4962,0.8157,3,Y,N,CAS3205-01,Computer Graphics,2025,2
26,25,6,Y(Y),6,N,Y,0.4607,0.8157,3,Y,N,CAS3205-01,Computer Graphics,2025,2
27,26,4,Y(Y),6,N,Y,0.4115,0.9736,2,Y,N,CAS3205-01,Computer Graphics,2025,2
28,27,3,Y(Y),6,N,Y,0.5357,0.9473,4,Y,N,CAS3205-01,Computer Graphics,2025,2
29,28,3,Y(Y),6,N,Y,0.473,0.9736,2,Y,N,CAS3205-01,Computer Graphics,2025,2
30,29,3,Y(Y),5,N,Y,0.375,0.8157,2,Y,N,CAS3205-01,Computer Graphics,2025,2
31,30,2,Y(Y),6,N,Y,0.7214,0.6315,3,Y,N,CAS3205-01,Computer Graphics,2025,2
32,31,2,Y(Y),6,N,Y,0.6857,0.7894,3,Y,N,CAS3205-01,Computer Graphics,2025,2
33,32,2,Y(Y),6,N,Y,0.5192,0.9736,2,Y,N,CAS3205-01,Computer Graphics,2025,2
34,33,2,Y(Y),6,N,Y,0.4692,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
35,34,2,N(N),6,N,Y,0.5961,1,3,Y,N,CAS3205-01,Computer Graphics,2025,2
36,35,1,Y(Y),6,Y,Y,0.6892,0.4736,4,Y,N,CAS3205-01,Computer Graphics,2025,2
37,36,1,Y(Y),6,Y,N,1,0.9473,4,Y,N,CAS3205-01,Computer Graphics,2025,2
38,37,1,Y(Y),6,N,Y,0.6928,1,3,Y,N,CAS3205-01,Computer Graphics,2025,2
39,38,1,Y(Y),6,N,Y,0.65,1,3,Y,N,CAS3205-01,Computer Graphics,2025,2
40,39,1,Y(Y),6,N,Y,0.5461,0.8157,3,Y,N,CAS3205-01,Computer Graphics,2025,2
41,40,1,Y(Y),6,N,Y,0.4884,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
42,41,1,Y(Y),6,N,Y,0.4653,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
43,42,1,Y(Y),6,N,Y,0.45,0.9736,2,Y,N,CAS3205-01,Computer Graphics,2025,2
44,43,1,Y(Y),6,N,Y,0.4192,0.8684,2,Y,N,CAS3205-01,Computer Graphics,2025,2
45,44,1,N(N),6,Y,Y,0.85,0.9473,4,Y,N,CAS3205-01,Computer Graphics,2025,2
46,45,1,N(N),6,N,Y,0.6407,0.8157,3,Y,N,CAS3205-01,Computer Graphics,2025,2
47,46,1,N(N),6,N,Y,0.4007,1,2,Y,N,CAS3205-01,Computer Graphics,2025,2
48,47,1,N(N),5,N,Y,0.9087,0.75,4,Y,N,CAS3205-01,Computer Graphics,2025,2
