no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
1,1,36,Y(N),6,Y,Y,1,0.9473,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
2,2,36,Y(N),6,Y,Y,1,0.8333,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
3,3,36,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
4,4,36,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
5,5,36,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
6,6,36,Y(N),6,Y,Y,1,0.5,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
7,7,36,Y(N),6,Y,N,1,0.5,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
8,8,36,Y(N),6,N,Y,0.8357,1,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
9,9,36,Y(Y),6,N,Y,0.8285,0.8421,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
10,10,36,Y(N),6,N,Y,0.7777,0.8421,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
11,11,36,Y(N),6,N,Y,0.7555,0.9473,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
12,12,36,Y(N),6,N,Y,0.7214,0.6315,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
13,13,36,Y(N),6,N,Y,0.6746,1,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
14,14,36,Y(N),6,N,Y,0.6269,0.8611,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
15,15,36,Y(N),5,N,Y,0.738,1,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
16,16,36,Y(N),5,N,Y,0.5555,0.8157,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
17,17,36,N(N),6,N,Y,1,0.9473,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
18,18,36,N(N),6,N,Y,0.8214,0.9473,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
19,19,36,N(N),6,N,Y,0.7579,0.5,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
20,20,36,N(N),6,N,Y,0.6269,1,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
21,21,36,N(N),6,N,Y,0.6031,0.9166,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
22,22,36,N(N),6,N,Y,0.6,0.9736,3,,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
23,23,36,N(N),6,N,Y,0.3444,1,2,,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
24,24,36,N(N),3,N,Y,0.5396,1,3,,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
25,25,34,Y(N),6,Y,Y,0.9642,1,4,,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
26,26,34,Y(Y),4,N,Y,0.7928,0.6842,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
27,27,28,Y(N),6,N,Y,0.8461,1,4,,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
28,28,26,Y(Y),6,N,Y,0.65,0.9736,3,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
29,29,25,Y(Y),6,N,N,0.7214,0.6315,4,Y,N,CAS3205-01,CAS3205-01,COMPUTER GRAPHICS,2025,1,이인권,이인권,"화12/목5,6",100.0,80.0,19.28,112.0
