no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
1,1,35,N(N),6,Y,Y,0.993,0.632,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
2,2,35,N(N),6,N,Y,0.837,0.789,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
3,3,31,N(N),6,N,Y,0.771,0.947,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
4,4,28,N(N),6,N,Y,0.5,0.656,3,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
5,5,27,Y(N),6,N,Y,0.952,0.667,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
6,6,26,Y(N),5,N,Y,0.985,0.833,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
7,7,26,N(N),6,N,Y,0.807,0.947,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
8,8,25,Y(Y),3,Y,N,0.936,0.316,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
9,9,24,Y(N),6,N,Y,1,1,4,Y,N,CAS3205-01,CSI4105-01,COMPUTER GRAPHICS,2022,1,이인권,이인권,"화6,7/목12",120.0,90.0,10.25,113.0
