no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
1,1,36,Y(Y),6,N,Y,0.779,0.789,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
2,2,35,Y(Y),6,N,Y,0.686,0.789,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
3,3,35,N(N),6,N,Y,0.948,0.632,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
4,4,32,Y(Y),6,N,Y,0.379,0.632,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
5,5,32,N(N),6,Y,Y,1,0.833,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
6,6,30,Y(Y),6,N,Y,0.643,0.789,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
7,7,30,Y(Y),6,N,Y,0.5,0.921,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
8,8,30,Y(Y),6,N,Y,0.5,0.816,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
9,9,30,Y(Y),6,N,Y,0.468,0.658,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
10,10,30,Y(Y),6,N,Y,0.364,0.368,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
11,11,28,Y(Y),6,N,Y,0.75,0.974,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
12,12,27,Y(Y),6,N,Y,0.743,0.789,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
13,13,27,Y(Y),5,N,Y,0.729,0.789,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
14,14,27,Y(Y),4,N,Y,0.736,0.474,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
15,15,25,Y(Y),6,N,Y,0.486,0.632,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
16,16,22,Y(Y),6,N,Y,0.9,0.974,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
17,17,19,Y(N),6,N,Y,0.706,1,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
18,18,19,Y(Y),6,N,Y,0.536,0.868,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
19,19,18,Y(Y),6,Y,Y,0.889,0.947,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
20,20,18,Y(Y),6,N,Y,0.957,0.947,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
21,21,18,Y(Y),6,N,Y,0.714,0.789,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
22,22,16,Y(Y),6,N,Y,0.743,0.947,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
23,23,15,Y(Y),6,N,Y,0.879,0.842,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
24,24,15,Y(Y),6,N,Y,0.521,0.974,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
25,25,15,Y(Y),6,N,Y,0.461,1,2,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
26,26,14,Y(Y),6,N,Y,0.807,1,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
27,27,14,Y(Y),6,N,Y,0.521,1,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
28,28,14,Y(N),5,N,Y,0.821,0.632,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
29,29,12,Y(N),6,Y,Y,0.993,0.947,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
30,30,12,Y(Y),6,N,Y,0.514,0.474,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
31,31,10,Y(Y),6,N,Y,0.682,0.789,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
32,32,10,Y(Y),6,N,Y,0.643,0,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
33,33,10,Y(Y),6,N,Y,0.579,0.974,3,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
34,34,10,N(N),6,N,Y,0.821,0.895,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
35,35,8,Y(Y),6,N,Y,0.829,0.947,4,Y,N,CAS3208-01,CSI4108-01,ARTIFICIAL INTELLIGENCE,2022,1,조성배,조성배,"월6,7,수6",100.0,90.0,10.99,75.0
