no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
1,0,12,Y(Y),6,N,Y,0.5384,0.8611,3,Y,Y,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
2,1,32,N(N),6,Y,Y,1,0.5,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
3,2,26,Y(Y),6,N,Y,0.6428,0.9736,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
4,3,22,Y(N),6,N,Y,0.7851,1,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
5,4,20,Y(N),6,N,Y,0.9047,1,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
6,5,20,Y(Y),6,N,Y,0.5538,1,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
7,6,20,Y(N),3,Y,Y,1,0.9473,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
8,7,17,Y(Y),6,N,Y,0.6785,1,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
9,8,16,Y(N),6,N,Y,0.7629,0.7894,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
10,9,16,Y(Y),5,N,Y,0.7928,0.9473,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
11,10,15,Y(Y),6,N,Y,0.8,0.6315,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
12,11,15,Y(Y),6,N,Y,0.7392,0.9473,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
13,12,15,Y(Y),6,N,Y,0.5692,1,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
14,13,14,Y(N),6,N,Y,0.746,0.6666,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
15,14,14,Y(N),6,N,Y,0.6814,0.8421,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
16,15,14,Y(Y),6,N,Y,0.5285,0.7894,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
17,16,13,Y(Y),6,N,Y,0.5923,1,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
18,17,13,N(N),6,N,Y,0.6692,1,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
19,18,12,Y(Y),6,N,Y,0.7785,0.8421,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
20,19,12,Y(Y),6,N,Y,0.7428,0.6315,4,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
21,20,12,Y(Y),6,N,Y,0.6857,0.9736,3,Y,N,CAS3301-01,CAS3301-01,NATURAL LANGUAGE PROCESSING,2025,1,여진영,여진영,"화2,3,목1",60.0,48.0,9.34,65.0
