no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
1,0,12,Y(Y),6,N,Y,0.7923,0.8333,4,Y,Y,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
2,0,12,Y(Y),6,N,Y,0.4884,0.8157,3,Y,Y,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
3,1,36,Y(Y),6,Y,Y,1,0.1578,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
4,2,36,Y(Y),6,Y,Y,0.8642,0.6315,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
5,3,36,Y(N),6,N,Y,0.8888,1,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
6,4,36,Y(Y),6,N,Y,0.8615,1,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
7,5,36,Y(Y),6,N,Y,0.85,0.8421,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
8,6,36,Y(Y),6,N,Y,0.8214,1,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
9,7,36,Y(Y),6,N,Y,0.7785,0.9473,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
10,8,36,Y(Y),6,N,Y,0.7653,0.6666,4,Y,N,CAS3400-01,CAS3400-01,AI SYSTEMS,2026,1,한동준,한동준,"수5,금5,6",80.0,60.0,23.17,143.0
