no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4101-01,Computer Capstone Design,2026,1
1,1,10,Y(Y),2,Y,Y,0.9571,0.7894,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
2,2,2,Y(Y),6,Y,Y,0.8571,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
3,3,2,Y(Y),6,N,Y,0.8214,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
4,4,2,Y(Y),4,N,Y,0.8857,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
5,5,1,Y(Y),6,Y,Y,1,1,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
6,6,1,Y(Y),6,Y,Y,0.9076,1,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
7,7,1,Y(Y),6,Y,Y,0.9038,1,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
8,8,1,Y(Y),6,Y,Y,0.8857,1,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
9,9,1,Y(Y),6,Y,Y,0.85,1,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
10,10,1,Y(Y),6,N,Y,0.85,0.8421,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
11,11,1,Y(Y),6,N,Y,0.8285,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
12,12,1,Y(Y),6,N,Y,0.823,0.8333,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
13,13,1,Y(Y),6,N,Y,0.8214,1,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
14,14,1,Y(Y),6,N,Y,0.8214,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
15,15,1,Y(Y),6,N,Y,0.8214,0.8421,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
16,16,1,Y(Y),6,N,Y,0.8178,0.9473,4,Y,N,CAS4101-01,Computer Capstone Design,2026,1
17,17,1,Y(Y),6,N,Y,0.8071,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
18,18,1,Y(Y),6,N,Y,0.8071,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
19,19,1,Y(Y),6,N,Y,0.8071,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
20,20,1,Y(Y),6,N,Y,0.8038,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
21,21,1,Y(Y),6,N,Y,0.8,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
22,22,1,Y(Y),6,N,Y,0.8,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
23,23,1,Y(Y),6,N,Y,0.8,0.8333,4,,N,CAS4101-01,Computer Capstone Design,2026,1
24,24,1,Y(Y),6,N,Y,0.7928,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
25,25,1,Y(Y),6,N,Y,0.7928,0.8421,4,,N,CAS4101-01,Computer Capstone Design,2026,1
26,26,1,Y(Y),6,N,Y,0.7923,0.8888,4,,N,CAS4101-01,Computer Capstone Design,2026,1
27,27,1,Y(Y),6,N,Y,0.7857,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
28,28,1,Y(Y),6,N,Y,0.7857,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
29,29,1,Y(Y),6,N,Y,0.7857,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
30,30,1,Y(Y),6,N,Y,0.7846,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
31,31,1,Y(Y),6,N,Y,0.7846,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
32,32,1,Y(Y),6,N,Y,0.7785,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
33,33,1,Y(Y),6,N,Y,0.7785,0.9473,4,,N,CAS4101-01,Computer Capstone Design,2026,1
34,34,1,Y(Y),6,N,Y,0.7785,0.7894,4,,N,CAS4101-01,Computer Capstone Design,2026,1
35,35,1,Y(Y),6,N,Y,0.7678,0.6315,4,,N,CAS4101-01,Computer Capstone Design,2026,1
36,36,1,Y(Y),6,N,Y,0.7653,0.6666,4,,N,CAS4101-01,Computer Capstone Design,2026,1
37,37,1,Y(Y),6,N,Y,0.7384,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
38,38,1,Y(Y),6,N,Y,0.6846,0.8333,4,,N,CAS4101-01,Computer Capstone Design,2026,1
39,39,1,Y(Y),6,N,Y,0.6642,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
40,40,1,Y(Y),6,N,Y,0.65,0.9473,3,,N,CAS4101-01,Computer Capstone Design,2026,1
41,41,1,Y(Y),6,N,Y,0.6357,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
42,42,1,Y(Y),6,N,Y,0.5535,0.8421,4,,N,CAS4101-01,Computer Capstone Design,2026,1
43,43,1,Y(Y),4,N,Y,0.9076,0.6666,4,,N,CAS4101-01,Computer Capstone Design,2026,1
44,44,1,Y(Y),3,N,Y,0.9038,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
45,45,1,Y(Y),3,N,Y,0.8,1,4,,N,CAS4101-01,Computer Capstone Design,2026,1
