no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
1,1,36,Y(Y),5,N,Y,0.8392,0.7894,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
2,2,14,Y(Y),6,N,Y,0.7461,0.8333,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
3,3,10,Y(Y),4,Y,N,0.9928,0.3157,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
4,4,3,Y(Y),6,N,Y,0.8615,0.8888,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
5,5,3,Y(Y),6,N,Y,0.7785,0.8421,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
6,6,1,Y(N),6,Y,Y,1,1,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
7,7,1,Y(Y),6,Y,Y,1,0.7894,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
8,8,1,Y(N),6,Y,Y,0.873,0.375,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
9,9,1,Y(Y),6,N,Y,0.9384,1,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
10,10,1,Y(Y),6,N,Y,0.9214,0.9473,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
11,11,1,Y(N),6,N,Y,0.9037,0.7894,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
12,12,1,Y(Y),6,N,Y,0.8846,0.7916,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
13,13,1,Y(Y),6,N,Y,0.8714,1,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
14,14,1,Y(N),6,N,Y,0.8492,0.6666,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
15,15,1,Y(Y),6,N,Y,0.8428,1,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
16,16,1,Y(Y),6,N,Y,0.8307,0.7222,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
17,17,1,Y(Y),6,N,Y,0.8285,0.8421,4,Y,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
18,18,1,Y(Y),6,N,Y,0.8142,0.6315,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
19,19,1,Y(Y),6,N,Y,0.8071,0.8421,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
20,20,1,Y(Y),6,N,Y,0.8035,0.9736,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
21,21,1,Y(Y),6,N,Y,0.7964,1,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
22,22,1,Y(Y),6,N,Y,0.7928,1,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
23,23,1,Y(Y),6,N,Y,0.7928,0.9473,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
24,24,1,Y(Y),6,N,Y,0.7769,0.8333,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
25,25,1,Y(Y),6,N,Y,0.7714,0.7916,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
26,26,1,Y(Y),6,N,Y,0.7678,1,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
27,27,1,Y(Y),6,N,Y,0.7653,0.7222,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
28,28,1,Y(Y),6,N,Y,0.7642,1,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
29,29,1,Y(Y),6,N,Y,0.7571,0.9473,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
30,30,1,Y(Y),6,N,Y,0.7538,1,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
31,31,1,Y(Y),6,N,Y,0.7535,0.9473,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
32,32,1,Y(N),6,N,Y,0.7214,0.6315,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
33,33,1,Y(Y),6,N,Y,0.6857,0.3157,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
34,34,1,Y(Y),5,Y,Y,0.9464,0.7894,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
35,35,1,Y(Y),5,N,Y,0.8428,0.9473,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
36,36,1,Y(Y),5,N,Y,0.823,0.8333,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
37,37,1,Y(Y),5,N,Y,0.7928,0.9473,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
38,38,1,Y(Y),5,N,Y,0.7821,0.9473,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
39,39,1,Y(Y),5,N,Y,0.75,0.7894,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
40,40,1,Y(Y),4,N,Y,0.7928,0.6842,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
41,41,1,Y(Y),4,N,Y,0.7538,0.8333,4,,N,CAS4101-01,CAS4101-01,COMPUTER CAPSTONE DESIGN,2025,1,한승재,한승재,"수7,금7,8",15.0,13.0,2.49,41.0
