no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
1,1,7,Y(Y),6,N,Y,0.85,0.789,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
2,2,2,Y(Y),6,N,Y,0.786,0.789,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
3,3,2,Y(Y),5,N,Y,0.786,0.947,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
4,4,1,Y(Y),6,Y,Y,0.889,0.947,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
5,5,1,Y(Y),6,Y,Y,0.871,1,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
6,6,1,Y(Y),6,N,Y,0.871,0.789,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
7,7,1,Y(Y),6,N,Y,0.829,0.947,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
8,8,1,Y(Y),6,N,Y,0.807,0.947,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
9,9,1,Y(Y),6,N,Y,0.779,0.789,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
10,10,1,Y(Y),6,N,Y,0.779,0.789,4,Y,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
11,11,1,Y(Y),6,N,Y,0.771,0.632,4,,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
12,12,1,Y(Y),6,N,Y,0.757,0.895,4,,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
13,13,1,Y(Y),6,N,Y,0.7,0.842,4,,N,CAS4101-01,CSI4101-04,COMPUTER CAPSTONE DESIGN,2022,1,한승재,한승재,"수9/금7,8",10.0,0.0,1.62,13.0
