no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
1,0,12,Y(Y),5,N,Y,0.7714,0.6315,4,Y,Y,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
2,1,33,Y(Y),4,N,Y,0.8423,0.6666,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
3,2,28,Y(Y),3,N,Y,0.8928,0.7894,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
4,3,24,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
5,4,24,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
6,5,21,N(N),6,N,N,0.8968,0.9166,3,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
7,6,20,Y(Y),6,N,Y,0.5714,0.8157,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
8,7,18,Y(Y),6,N,Y,0.6857,0.3157,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
9,8,18,Y(Y),3,N,Y,0.75,0.9027,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
10,9,16,Y(Y),6,N,Y,0.8307,0.7222,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
11,10,16,Y(Y),6,N,Y,0.6153,0.8333,3,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
12,11,15,Y(Y),6,N,Y,0.8857,0.9473,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
13,12,13,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
14,13,12,Y(Y),6,N,Y,1,0.7894,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
15,14,12,Y(Y),6,N,Y,0.8846,1,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
16,15,12,Y(Y),6,N,Y,0.7642,1,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
17,16,12,Y(Y),6,N,Y,0.6615,1,3,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
18,17,12,Y(Y),6,N,Y,0.5038,1,2,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
19,18,11,Y(Y),6,N,Y,0.7392,0.9473,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
20,19,10,Y(N),6,Y,Y,1,0.9473,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
21,20,10,Y(Y),6,N,Y,0.8357,0.7894,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
22,21,10,Y(Y),6,N,Y,0.7785,0.6315,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
23,22,10,Y(Y),6,N,Y,0.7642,0.9473,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
24,23,10,Y(Y),5,N,Y,0.8714,0.7894,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
25,24,10,Y(Y),4,N,Y,0.75,1,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
26,25,10,Y(Y),4,N,Y,0.75,1,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
27,26,10,N(N),6,N,Y,0.4404,1,2,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
28,27,8,Y(Y),6,Y,Y,0.9428,0.3157,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
29,28,8,Y(Y),6,N,Y,0.7571,0.7894,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
30,29,6,Y(N),6,Y,Y,1,0.625,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
31,30,6,Y(Y),6,N,Y,0.775,0.9473,4,Y,N,CAS4108-01-00,데이터프라이버시학 (Data Privacy),2025,1
