no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
1,0,12,Y(Y),6,N,Y,0.7923,0.8333,4,Y,Y,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
2,1,30,Y(N),6,Y,Y,1,0.9473,4,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
3,2,29,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
4,3,25,N(N),4,N,Y,0.5,0.875,3,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
5,4,23,Y(Y),6,N,Y,0.7384,1,4,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
6,5,17,N(N),4,N,Y,0.5,0.875,3,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
7,6,12,Y(Y),6,N,Y,0.7785,0.9473,4,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
8,7,10,Y(Y),6,N,Y,0.7153,1,3,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
9,8,10,Y(Y),5,N,Y,0.8642,0.9473,4,Y,N,CAS4108-01,CAS4108-01,DATA PRIVACY,2026,1,노알버트,노알버트,"화4,목5,6",75.0,60.0,6.34,35.0
