no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
1,1,36,N(N),6,N,N,0.3055,0.5833,3,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
2,2,33,N(N),6,Y,Y,0.9142,1,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
3,3,32,N(N),6,Y,Y,1,0.5,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
4,4,27,Y(Y),6,N,Y,0.8615,0.8888,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
5,5,24,Y(Y),5,N,Y,0.75,0.7894,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
6,6,23,Y(Y),5,N,Y,0.6714,0.7894,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
7,7,20,Y(Y),6,N,Y,0.5714,0.8157,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
8,8,19,Y(Y),6,N,Y,0.4964,0.8157,3,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
9,9,18,Y(Y),6,N,Y,0.9,1,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
10,10,16,Y(Y),6,N,Y,0.8307,0.7222,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
11,11,16,Y(Y),6,N,Y,0.7785,0.8421,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
12,12,16,Y(Y),6,N,Y,0.5615,0.6666,3,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
13,13,15,Y(N),6,N,Y,1,1,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
14,14,15,Y(N),6,N,Y,0.7214,0.6315,4,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
15,15,15,Y(Y),6,N,Y,0.6071,0.9473,3,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
16,16,15,Y(Y),6,N,Y,0.4423,0.9736,2,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
17,17,14,Y(Y),6,N,Y,0.5,0.75,3,Y,N,CAS4109-01-00,컴퓨터보안학 (Computer Security),2025,1
