no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4109-01,COMPUTER SECURITY,2026,1
1,1,36,Y(Y),6,Y,Y,1,0.8947,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
2,2,36,Y(Y),6,Y,Y,1,0.7894,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
3,3,36,Y(N),6,N,Y,1,0.8333,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
4,4,36,Y(Y),4,N,Y,0.5,0.9027,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
5,5,36,N(N),6,N,N,0.5476,0.8333,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
6,6,36,N(N),3,Y,Y,0.9629,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
7,7,36,N(N),2,Y,Y,1,0.5,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
8,8,35,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
9,9,35,N(N),3,N,Y,0.4047,0.8333,2,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
10,10,32,Y(N),6,N,Y,0.9523,1,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
11,11,30,Y(N),6,N,Y,0.9037,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
12,12,30,Y(Y),4,N,Y,0.5923,0.6666,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
13,13,29,N(N),6,Y,Y,1,1,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
14,14,25,Y(N),6,N,Y,1,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
15,15,22,Y(N),6,N,Y,0.8095,1,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
16,16,21,Y(N),6,N,Y,1,1,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
17,17,21,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
18,18,20,Y(Y),6,N,Y,0.8,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
19,19,18,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
20,20,18,Y(Y),5,N,Y,0.5,0.9027,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
21,21,18,N(N),6,N,Y,0.3538,1,2,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
22,22,17,Y(Y),6,N,Y,0.823,0.8333,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
23,23,17,Y(Y),6,N,Y,0.3653,0,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
24,24,16,Y(Y),6,N,Y,0.8071,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
25,25,16,Y(Y),6,N,Y,0.7461,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
26,26,15,Y(Y),6,Y,Y,0.9384,1,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
