no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
1,1,36,N(N),6,N,N,0.3055,0.5833,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
2,2,33,N(N),6,Y,Y,0.9142,1,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
3,3,32,N(N),6,Y,Y,1,0.5,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
4,4,27,Y(Y),6,N,Y,0.8615,0.8888,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
5,5,24,Y(Y),5,N,Y,0.75,0.7894,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
6,6,23,Y(Y),5,N,Y,0.6714,0.7894,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
7,7,20,Y(Y),6,N,Y,0.5714,0.8157,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
8,8,19,Y(Y),6,N,Y,0.4964,0.8157,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
9,9,18,Y(Y),6,N,Y,0.9,1,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
10,10,16,Y(Y),6,N,Y,0.8307,0.7222,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
11,11,16,Y(Y),6,N,Y,0.7785,0.8421,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
12,12,16,Y(Y),6,N,Y,0.5615,0.6666,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
13,13,15,Y(N),6,N,Y,1,1,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
14,14,15,Y(N),6,N,Y,0.7214,0.6315,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
15,15,15,Y(Y),6,N,Y,0.6071,0.9473,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
16,16,15,Y(Y),6,N,Y,0.4423,0.9736,2,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
17,17,14,Y(Y),6,N,Y,0.5,0.75,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
18,18,13,Y(Y),6,N,Y,1,0.7894,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
19,19,13,Y(N),6,N,Y,0.9615,1,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
20,20,13,Y(Y),6,N,Y,0.8192,1,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
21,21,12,Y(Y),6,N,Y,0.8846,0.7916,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
22,22,12,Y(Y),6,N,Y,0.6269,0.8333,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
23,23,12,Y(Y),6,N,Y,0.5142,1,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
24,24,11,Y(Y),6,Y,Y,0.9214,0.9473,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
25,25,11,Y(Y),6,N,Y,0.7357,0.6315,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
26,26,10,Y(Y),6,N,Y,0.7692,0.8333,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
27,27,10,Y(Y),6,N,Y,0.7642,0.7894,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
28,28,10,N(N),6,N,Y,1,0.8157,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
29,29,9,Y(Y),6,Y,Y,1,0.7894,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
30,30,9,Y(Y),6,N,Y,0.5214,0.9736,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
31,31,8,Y(Y),6,Y,Y,0.9428,0.3157,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
32,32,8,Y(Y),6,N,Y,0.8538,0.9736,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
33,33,8,Y(Y),6,N,Y,0.4538,0.8611,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
34,34,7,Y(Y),6,N,Y,0.7142,0.9473,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
35,35,6,Y(Y),6,N,Y,0.4923,1,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
36,36,5,Y(Y),6,N,Y,0.523,1,3,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
37,37,5,Y(Y),5,N,Y,0.9076,1,4,Y,N,CAS4109-01,CAS4109-01,COMPUTER SECURITY,2025,1,송도경,송도경,"화5,6/목4",80.0,64.0,9.95,60.0
