no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
1,1,36,Y(N),6,Y,Y,0.9148,0.8421,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
2,2,36,Y(Y),6,N,Y,0.7714,0.7916,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
3,3,36,N(N),6,Y,Y,1,0.5,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
4,4,36,N(N),6,N,Y,0.9307,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
5,5,36,N(N),6,N,Y,0.6518,1,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
6,6,36,N(N),5,Y,Y,0.8928,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
7,7,36,N(N),5,N,Y,0.8307,0.8333,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
8,8,35,N(N),6,Y,Y,0.9928,0.4736,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
9,9,35,N(N),3,Y,Y,1,0.1578,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
10,10,34,N(N),6,Y,Y,0.9928,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
11,11,32,N(N),6,N,Y,0.8214,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
12,12,32,N(N),6,N,Y,0.8071,0.7894,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
13,13,30,Y(Y),5,N,Y,0.8428,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
14,14,29,N(N),6,N,Y,0.8968,0.9166,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
15,15,28,N(N),6,N,Y,0.85,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
16,16,27,Y(Y),6,N,Y,0.8615,0.8888,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
17,17,26,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
18,18,24,Y(Y),5,N,Y,0.75,0.7894,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
19,19,24,N(N),6,Y,Y,0.9357,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
20,20,24,N(N),6,N,Y,0.6714,0.9473,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
21,21,20,Y(Y),5,N,Y,0.7923,1,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
22,22,20,Y(N),3,Y,Y,1,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
23,23,20,N(N),6,Y,Y,0.9357,0.7894,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
24,24,20,N(N),6,N,Y,0.8923,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
25,25,20,N(N),5,N,Y,0.8,0.9473,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
26,26,20,N(N),4,N,Y,0.8769,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
27,27,19,Y(Y),6,N,Y,0.5307,1,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
28,28,19,N(N),6,N,Y,0.75,0.9473,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
29,29,18,Y(N),6,N,Y,0.8821,0.6842,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
30,30,18,Y(Y),6,N,Y,0.7928,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
31,31,17,Y(Y),6,Y,Y,0.8892,0.9736,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
32,32,17,N(N),6,Y,Y,0.9851,0.6315,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
33,33,17,N(N),6,N,Y,0.8464,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
34,34,16,Y(Y),6,Y,Y,0.9071,0.8421,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
35,35,16,Y(Y),6,N,Y,0.9,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
36,36,16,Y(Y),6,N,Y,0.8307,0.7222,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
37,37,16,Y(Y),6,N,Y,0.7964,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
38,38,16,Y(Y),6,N,Y,0.7678,0.6315,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
39,39,15,Y(Y),6,N,Y,0.8035,0.9736,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
40,40,15,Y(Y),6,N,Y,0.7642,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
41,41,15,Y(Y),6,N,Y,0.6821,0.8684,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
42,42,15,Y(Y),6,N,Y,0.5076,1,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
43,43,15,Y(Y),6,N,Y,0.5,0.8611,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
44,44,15,N(N),6,N,Y,0.873,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
45,45,14,Y(N),6,N,Y,0.9615,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
46,46,14,Y(Y),6,N,Y,0.8538,0.9736,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
47,47,14,Y(Y),6,N,Y,0.7692,0.8333,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
48,48,14,Y(Y),6,N,Y,0.55,1,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
49,49,13,Y(Y),6,N,Y,0.7642,0.7894,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
50,50,13,Y(Y),6,N,Y,0.7535,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
51,51,12,Y(Y),6,Y,Y,0.9,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
52,52,12,Y(Y),6,Y,Y,0.8392,0.7894,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
53,53,12,Y(Y),6,N,Y,1,0.7894,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
54,54,12,Y(Y),6,N,Y,0.9253,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
55,55,12,Y(N),6,N,Y,0.8357,0.9473,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
56,56,12,Y(Y),6,N,Y,0.7714,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
57,57,12,Y(Y),6,N,Y,0.7678,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
58,58,12,Y(Y),6,N,Y,0.7615,1,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
59,59,12,N(N),6,N,Y,0.8538,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
60,60,12,N(N),6,N,Y,0.7857,0.9473,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
61,61,11,Y(Y),6,Y,Y,0.9214,0.9473,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
62,62,11,Y(Y),6,N,Y,0.5714,0.8157,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
63,63,11,N(N),6,Y,Y,1,0.8333,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
64,64,10,Y(N),6,Y,Y,1,1,4,,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
65,65,10,Y(Y),6,N,Y,0.8846,0.7916,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
66,66,10,Y(Y),6,N,Y,0.8023,0.8333,4,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
67,67,10,Y(Y),6,N,Y,0.523,1,3,Y,N,CAS4119-01-00,멀티코어및GPU프로그래밍 (Multi-core and GPU Programming),2025,1
