no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
1,1,36,N(N),6,N,Y,0.5888,1,3,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
2,2,35,Y(Y),6,Y,Y,1,0.7894,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
3,3,33,N(N),4,Y,Y,0.9846,0.8333,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
4,4,32,Y(N),6,N,Y,1,0.8333,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
5,5,30,N(N),6,N,Y,0.8285,0.7894,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
6,6,30,N(N),6,N,Y,0.7535,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
7,7,28,Y(Y),4,N,Y,0.8857,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
8,8,27,Y(N),6,N,Y,0.9037,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
9,9,20,Y(Y),6,Y,Y,0.85,1,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
10,10,20,Y(Y),5,Y,Y,0.9538,1,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
11,11,20,Y(N),3,N,Y,0.9259,1,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
12,12,18,N(N),5,N,Y,0.75,0.9027,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
13,13,17,Y(Y),6,N,Y,0.8071,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
14,14,16,N(N),6,Y,Y,1,1,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
15,15,16,N(N),6,N,Y,0.8857,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
16,16,15,Y(Y),6,N,Y,0.7857,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
17,17,15,Y(Y),5,N,Y,0.8153,0.8333,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
18,18,15,N(N),6,N,Y,0.5476,0.8333,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
19,19,14,Y(N),6,N,Y,1,0.8333,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
20,20,14,Y(N),6,N,Y,0.7642,0.7894,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
21,21,13,Y(N),6,N,Y,0.8095,1,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
22,22,13,Y(Y),6,N,Y,0.8,0.9473,4,Y,N,CAS4119-01,MULTICORE AND GPU PROGRAMMING,2026,1
