no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
1,1,36,Y(Y),5,N,Y,0.75,1,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
2,2,36,N(N),4,N,Y,0.5,0.875,3,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
3,3,30,N(N),5,N,Y,0.873,0.8333,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
4,4,27,N(N),6,N,Y,0.7714,0.9473,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
5,5,25,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
6,6,23,Y(Y),4,N,Y,0.25,0.9027,2,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
7,7,20,Y(Y),6,N,Y,0.8,0.9473,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
8,8,15,Y(Y),4,N,Y,0.25,0.9027,2,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
9,9,14,N(N),6,N,Y,0.8095,0.8333,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
10,10,12,N(N),6,N,Y,0.7178,0.9473,3,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
11,11,10,Y(N),6,N,Y,0.9126,1,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
12,12,10,N(N),6,N,Y,0.4024,0.8541,2,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
13,13,8,N(N),5,N,Y,0.75,1,4,,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
14,14,5,Y(Y),6,N,Y,0.7821,1,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
15,15,5,Y(N),6,N,Y,0.7619,1,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
16,16,3,Y(Y),6,Y,Y,0.95,0.9473,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
17,17,3,Y(N),6,N,Y,0.8293,0.8888,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
18,18,3,N(N),5,Y,Y,1,1,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
19,19,2,Y(N),6,Y,Y,0.992,0.5,4,Y,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
20,20,2,Y(N),6,N,Y,0.874,0.7894,4,,N,CAS4127-01-00,인간-인공지능상호작용학 (Human-AI Interaction),2026,1
