no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
1,0,12,Y(Y),6,N,Y,0.8357,0.9473,4,Y,Y,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
2,1,36,Y(Y),4,N,Y,0.8423,0.6666,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
3,2,36,N(N),6,N,Y,0.8423,0.6666,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
4,3,36,N(N),6,N,Y,0.7821,0.9736,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
5,4,36,N(N),6,N,Y,0.7555,0.7894,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
6,5,32,Y(Y),3,Y,Y,0.9357,1,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
7,6,30,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
8,7,30,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
9,8,30,Y(Y),5,N,Y,0.75,0.9027,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
10,9,29,Y(Y),6,N,Y,0.5,0.9027,3,,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
11,10,25,Y(Y),6,N,Y,0.75,0.9027,4,,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
12,11,25,Y(Y),6,N,Y,0.5,0.9027,3,,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
13,12,25,Y(Y),6,N,Y,0.5,0.9027,3,,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
14,13,25,Y(Y),5,N,Y,0.7923,1,3,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
15,14,24,Y(Y),4,N,Y,0.5,0.9027,3,,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
16,15,22,N(N),6,Y,Y,0.9071,0.7894,4,Y,N,CAS4133-01-00,거대언어모델학 (Large Language Models),2025,1
