no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
1,0,12,Y(Y),6,N,Y,0.55,0.8947,3,Y,Y,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
2,1,36,Y(N),6,Y,Y,1,0.6666,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
3,2,36,Y(N),6,Y,Y,0.992,0.5,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
4,3,36,Y(N),6,N,Y,0.7698,1,3,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
5,4,36,Y(N),6,N,Y,0.5317,1,3,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
6,5,36,Y(Y),6,N,Y,0.4653,1,3,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
7,6,36,Y(N),4,N,N,1,0.4736,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
8,7,36,Y(Y),3,N,Y,0.9038,1,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
9,8,36,N(N),6,N,Y,0.75,0.875,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
10,9,36,N(N),6,N,Y,0.5674,1,3,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
11,10,36,N(N),3,N,Y,0.4047,0.8333,2,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
12,11,35,Y(Y),5,N,Y,0.4576,1,2,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
13,12,31,Y(N),6,N,Y,0.8666,0.7894,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
14,13,31,Y(Y),6,N,Y,0.8615,0.8333,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
15,14,28,Y(Y),5,N,Y,0.4538,1,3,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
16,15,26,N(N),5,N,Y,0.873,0.8333,4,Y,N,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2026,1
