no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
1,1,36,N(N),6,N,Y,0.619,0.8611,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
2,2,35,Y(Y),2,N,Y,0.5576,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
3,3,24,Y(Y),4,Y,Y,0.9571,0.7894,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
4,4,17,Y(Y),6,N,Y,0.4714,0.7894,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
5,5,15,Y(N),6,N,Y,0.7777,0.8421,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
6,6,15,Y(Y),6,N,Y,0.7615,1,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
7,7,15,Y(Y),4,Y,Y,0.9785,0.7894,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
8,8,14,Y(Y),6,Y,Y,0.6892,0.4736,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
9,9,13,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
10,10,13,Y(Y),6,N,Y,0.8035,0.9736,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
11,11,12,Y(Y),6,Y,Y,0.9142,0.625,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
12,12,12,Y(Y),6,N,Y,0.7428,0.6315,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
13,13,11,Y(N),6,N,Y,0.7555,0.6315,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
14,14,11,Y(Y),6,N,Y,0.7357,0.7894,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
15,15,10,Y(N),6,Y,Y,0.7777,0.8333,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
16,16,10,Y(Y),6,N,Y,0.8285,0.8421,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
17,17,10,Y(Y),3,Y,Y,1,0.8421,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
18,18,8,Y(Y),6,Y,Y,0.8285,1,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
19,19,8,Y(Y),6,N,Y,0.6807,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
20,20,7,Y(Y),6,N,Y,0.6615,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
21,21,7,Y(Y),6,N,Y,0.6071,0.9473,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
22,22,6,Y(Y),6,N,Y,0.6,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
23,23,5,Y(Y),6,Y,Y,0.95,0.7916,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
24,24,5,Y(Y),6,N,Y,0.8428,0.7894,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
25,25,5,Y(N),6,N,Y,0.7259,0.9473,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
26,26,5,N(N),6,Y,N,1,0.5555,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
27,27,4,Y(Y),6,N,Y,0.9214,0.9473,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
28,28,3,Y(Y),6,Y,Y,0.8642,0.9473,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
29,29,3,Y(Y),6,N,Y,0.9253,1,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
30,30,3,Y(N),6,N,Y,0.7696,0.6315,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
31,31,3,Y(Y),6,N,Y,0.7571,0.9473,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
32,32,3,Y(Y),6,N,Y,0.6,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
33,33,2,Y(Y),6,N,Y,0.8428,1,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
34,34,2,Y(Y),6,N,Y,0.7821,0.6842,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
35,35,2,Y(Y),6,N,Y,0.7178,0.9736,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
36,36,1,Y(N),6,Y,Y,1,0.5,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
37,37,1,Y(N),6,N,Y,0.8809,0.8333,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
38,38,1,Y(N),6,N,Y,0.865,0.6666,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
39,39,1,Y(Y),6,N,Y,0.8428,1,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
40,40,1,Y(Y),6,N,Y,0.7678,0.6315,4,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
41,41,1,Y(Y),6,N,Y,0.7461,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
42,42,1,Y(Y),6,N,Y,0.6785,1,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
43,43,1,Y(Y),6,N,Y,0.6384,0.8333,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
44,44,1,Y(Y),6,N,Y,0.5785,0.6578,3,Y,N,CAS4150-01,CAS4150-01,INTRODUCTION TO DATA VISUALISATION,2025,1,강민석,강민석,"월5,6,수6",60.0,48.0,7.93,46.0
