no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
1,1,32,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
2,2,26,N(N),6,N,Y,0.8321,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
3,3,26,N(N),5,N,Y,0.6904,0.9791,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
4,4,25,Y(Y),6,N,Y,0.9777,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
5,5,24,Y(Y),6,N,Y,0.8071,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
6,6,21,Y(Y),6,Y,Y,1,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
7,7,21,Y(Y),5,N,Y,0.4538,1,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
8,8,20,Y(Y),6,N,Y,0.7785,0.7894,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
9,9,20,Y(Y),3,N,Y,0.9259,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
10,10,19,Y(Y),6,N,Y,0.5535,0.8421,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
11,11,16,Y(Y),6,Y,Y,0.8884,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
12,12,16,Y(Y),6,N,Y,0.8178,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
13,13,16,Y(Y),6,N,Y,0.7461,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
14,14,15,Y(Y),4,N,Y,1,0.4736,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
15,15,14,Y(Y),6,N,Y,0.7698,1,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
16,16,13,Y(Y),6,N,Y,0.5038,0.8684,2,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
17,17,12,Y(Y),6,Y,Y,0.95,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
18,18,12,N(N),6,N,Y,0.5674,1,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
19,19,9,Y(Y),6,N,Y,0.5346,0.8421,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
20,20,8,Y(Y),6,N,Y,0.8769,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
21,21,8,Y(Y),6,N,Y,0.8285,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
22,22,6,Y(Y),6,N,Y,0.75,0.8333,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
23,23,6,N(N),5,N,Y,0.7714,1,3,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
24,24,5,Y(Y),6,Y,Y,0.8178,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
25,25,5,Y(Y),6,N,Y,0.8214,0.9473,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
26,26,2,Y(Y),6,N,Y,0.7857,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
27,27,2,Y(Y),6,N,Y,0.7642,0.7894,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
28,28,2,N(N),6,Y,Y,1,0.1578,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
29,29,1,Y(Y),6,Y,Y,1,1,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
30,30,1,Y(Y),6,Y,Y,0.9785,0.7894,4,Y,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
31,31,1,Y(Y),6,Y,Y,0.6928,1,4,,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
32,32,1,Y(Y),6,N,Y,1,0.9473,4,,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
33,33,1,Y(Y),6,N,Y,0.9642,0.8421,4,,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
34,34,1,Y(Y),6,N,Y,0.874,0.7894,4,,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
35,35,1,Y(Y),6,N,Y,0.7928,0.8421,4,,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
36,36,1,N(N),6,Y,Y,1,0.7894,4,,N,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2026,1
