no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
1,1,36,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
2,2,36,Y(Y),6,Y,Y,0.8928,0.8421,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
3,3,36,Y(Y),2,Y,Y,0.9571,0.3157,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
4,4,32,N(N),6,N,Y,0.7923,1,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
5,5,27,N(N),6,N,Y,0.6814,0.9473,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
6,6,26,Y(Y),3,Y,Y,1,0.9473,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
7,7,25,Y(Y),6,Y,Y,0.9,0.7894,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
8,8,25,N(N),6,N,Y,0.7539,1,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
9,9,24,Y(Y),6,Y,Y,0.9538,0.625,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
10,10,20,Y(Y),6,N,Y,0.5357,0.7894,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
11,11,20,Y(N),5,Y,Y,0.9603,0.8333,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
12,12,20,Y(Y),5,N,Y,0.8153,1,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
13,13,20,Y(Y),4,N,Y,0.9076,0.8333,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
14,14,20,Y(Y),3,Y,Y,0.9928,0.7894,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
15,15,19,Y(N),5,Y,Y,1,0.8333,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
16,16,18,Y(Y),6,Y,Y,0.8928,0.8421,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
17,17,18,Y(Y),6,N,Y,0.8076,1,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
18,18,18,Y(Y),6,N,Y,0.6692,1,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
19,19,18,Y(Y),5,Y,Y,0.9038,1,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
20,20,18,N(N),6,N,Y,0.865,0.9375,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
21,21,17,Y(Y),6,N,Y,0.7153,0.8333,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
22,22,17,Y(Y),6,N,Y,0.6461,0.8333,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
23,23,16,Y(Y),6,Y,Y,0.9,0.8333,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
24,24,15,Y(Y),6,N,Y,0.6423,0.8333,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
25,25,15,Y(Y),6,N,Y,0.6307,0.8333,3,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
26,26,12,Y(Y),6,Y,Y,0.9285,1,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
27,27,11,Y(Y),6,N,Y,0.8384,1,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
28,28,5,Y(N),6,Y,Y,1,1,4,,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
29,29,1,Y(Y),6,N,Y,0.75,0.7894,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
30,30,1,Y(Y),6,N,Y,0.6535,0.9736,4,Y,N,CAS4151-01,CAS4151-01,SW-AI BUSINESS APPLICATION DESIGN,2025,2,김현수,김현수,"수5,금5,6",30.0,24.0,19.53,30.0
