no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
1,0,12,Y(Y),6,N,Y,0.8357,0.9473,4,Y,Y,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
2,0,12,Y(Y),6,N,Y,0.5384,0.8611,3,Y,Y,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
3,1,36,Y(N),6,Y,Y,1,0.7894,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
4,2,36,Y(Y),6,Y,Y,0.9285,1,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
5,3,36,Y(Y),6,N,Y,0.9464,0.9473,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
6,4,36,Y(N),6,N,Y,0.9071,1,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
7,5,36,Y(N),6,N,Y,0.8492,0.6666,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
8,6,36,Y(N),6,N,Y,0.8222,0.7894,3,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
9,7,36,Y(Y),6,N,Y,0.7642,1,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
10,8,36,Y(Y),6,N,Y,0.7178,0.9736,3,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
11,9,36,Y(N),6,N,Y,0.7071,0.9736,3,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
12,10,36,Y(Y),5,N,Y,0.9076,1,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
13,11,36,Y(Y),5,N,Y,0.7821,0.9473,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
14,12,36,Y(Y),4,Y,Y,0.9571,0.7894,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
15,13,36,Y(Y),4,N,Y,0.8423,0.8,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
16,14,36,Y(N),3,Y,Y,1,0.9473,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
17,15,36,Y(Y),3,Y,Y,1,0.8421,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
18,16,36,Y(N),3,Y,Y,0.9555,0.8333,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
19,17,36,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
20,18,36,N(N),6,Y,Y,1,0.7894,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
21,19,36,N(N),6,Y,Y,0.9642,0.7368,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
22,20,36,N(N),6,Y,Y,0.9571,0.6315,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
23,21,36,N(N),6,N,Y,1,1,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
24,22,36,N(N),6,N,Y,1,1,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
25,23,36,N(N),6,N,Y,0.9538,0.8333,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
26,24,36,N(N),6,N,Y,0.8809,0.6666,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
27,25,36,N(N),6,N,Y,0.8576,0.8333,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
28,26,36,N(N),6,N,Y,0.8571,1,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
29,27,36,N(N),6,N,Y,0.8571,1,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
30,28,36,N(N),6,N,Y,0.8357,0.9473,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
31,29,36,N(N),6,N,Y,0.8142,0.8421,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
32,30,36,N(N),6,N,Y,0.7857,0.9473,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
33,31,36,N(N),6,N,Y,0.7821,1,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
34,32,36,N(N),6,N,Y,0.6035,0.6315,3,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
35,33,36,N(N),6,N,Y,0.575,0.9736,3,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
36,34,36,N(N),5,Y,Y,0.9892,0.8421,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
37,35,36,N(N),5,N,Y,0.7142,0.9791,3,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
38,36,36,N(N),4,Y,Y,1,0.7894,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
39,37,36,N(N),4,N,Y,0.7678,0.7894,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
40,38,35,N(N),6,Y,Y,1,1,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
41,39,33,Y(Y),4,N,Y,1,0.9473,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
42,40,32,Y(N),6,N,Y,0.8809,0.8333,4,,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
43,41,32,Y(Y),6,N,Y,0.7642,0.7894,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
44,42,32,Y(Y),6,N,Y,0.75,0.9027,4,Y,N,CAS4160-01-00,강화학습 (Reinforcement Learning),2025,1
