no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
1,0,12,Y(Y),3,N,Y,0.6692,0.5,4,Y,Y,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
2,1,36,Y(N),6,Y,Y,1,1,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
3,2,36,Y(N),6,Y,Y,1,0.9473,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
4,3,36,Y(N),6,Y,Y,1,0.9473,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
5,4,36,Y(N),6,Y,Y,1,0.6666,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
6,5,36,Y(N),6,Y,Y,0.9307,1,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
7,6,36,Y(N),6,Y,Y,0.9285,0.9473,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
8,7,36,Y(N),6,N,Y,0.9851,0.75,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
9,8,36,Y(N),6,N,Y,0.9285,0.7894,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
10,9,36,Y(N),6,N,Y,0.874,0.7894,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
11,10,36,Y(Y),6,N,Y,0.823,1,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
12,11,36,Y(N),6,N,Y,0.7111,0.9473,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
13,12,36,Y(Y),6,N,Y,0.6769,1,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
14,13,36,Y(Y),6,N,Y,0.6769,0.9736,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
15,14,36,Y(Y),6,N,Y,0.6615,1,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
16,15,36,Y(N),6,N,Y,0.6074,0.9736,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
17,16,36,Y(Y),6,N,Y,0.5615,0.9736,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
18,17,36,Y(Y),6,N,Y,0.45,0.8157,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
19,18,36,Y(N),5,N,Y,0.8571,1,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
20,19,36,Y(N),5,N,Y,0.7111,0.9473,3,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
21,20,36,Y(Y),4,Y,Y,0.9285,0.6315,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
22,21,36,Y(N),4,N,Y,0.8666,0.9473,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
23,22,36,Y(Y),3,Y,Y,1,0.9473,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
24,23,36,Y(N),3,N,Y,0.9259,1,4,Y,N,CAS4160-01,CAS4160-01,REINFORCEMENT LEARNING,2026,1,이영운,이영운,"수4/금11,12",95.0,76.0,24.13,142.0
